 TIME                    	Wet                      	T_tower                  	T_ch                     	flow_ch                  	T_To_tower               	T_ch_r                   	T_sf                     	Td                       	Q_IT                     	PUE                      
 HOURS              	Unit1               	Unit2               	Unit3               	Unit4               	Unit5               	Unit6               	Unit7               	Unit8               	Unit9               	Unit10              
8016	16.87380264	18	18	527000	10	12	30	-10	363596.7338	1
8016.083333	-5.142756028	14.25332152	15.43765186	45000	15.124298	16.60966319	18.33694698	6.016553398	363839.6373	1.1541943
8016.166667	-5.206112639	12.94796309	14.84594463	45000	14.34073915	16.76830613	19.62279247	9.917348503	364098.8194	1.154084537
8016.25	-5.271115998	11.83675079	14.10795505	45000	13.5033312	16.43229678	19.88815415	12.00195273	364375.2266	1.153967652
8016.333333	-5.337085787	10.86541726	13.33285194	45000	12.67284005	15.85764432	19.63181314	13.10252895	364669.84	1.153843263
8016.416667	-5.403320767	10.00161605	12.57660621	45000	11.88799064	15.21616486	19.14901889	13.64653572	364983.6746	1.15371098
8016.5	-5.470293177	9.224826037	11.84916243	45000	11.14724768	14.54068361	18.5518733	13.92440023	365317.777	1.153570403
8016.583333	-5.537306955	8.520348286	11.17416027	45000	10.46680759	13.88035611	17.92666905	14.05445136	365673.224	1.153336068
8016.666667	-5.603668031	7.875646991	10.57867269	45000	9.966395404	13.2842875	17.33856559	14.09633804	366051.1194	1.149339695
8016.75	-5.66985416	7.27916625	10.13826056	44890.70903	9.719712541	12.83033214	16.86466129	14.04474111	366452.5916	1.142453461
8016.833333	-5.735171141	7.271893015	10.39584292	43122.55306	10.37571677	13.12036007	16.98255858	13.65417631	366878.7894	1.131625181
8016.916667	-5.79894647	7.783801657	11.36428584	41704.55205	11.83099382	14.06295546	17.72336517	13.11787674	367330.8782	1.122425417
8017	-5.861632413	8.282177859	12.27255915	42226.01508	12.95780976	14.91059435	18.52562783	12.88803434	367810.0354	1.119916317
8017.083333	-5.909938917	8.786027879	12.77714417	45000	13.28494086	15.28618355	19.03272194	13.01883931	368317.4445	1.124148163
8017.166667	-5.944141588	8.677911259	12.36106513	45000	12.61156726	14.96836532	18.85926672	13.51618022	368854.2897	1.127573477
8017.25	-5.977441773	8.004453776	11.62613459	45000	11.77133318	14.31299526	18.32475633	13.93086253	369421.7488	1.129040247
8017.333333	-6.009845674	7.383460563	11.12404974	45000	11.38218216	13.81504105	17.85697927	14.04899755	370020.9858	1.12711238
8017.416667	-6.041380817	7.357898928	11.5237815	45000	12.08773262	14.14597591	18.07601882	13.66377422	370653.1433	1.122853585
8017.5	-6.072629291	7.874426728	12.37295833	45000	13.12737497	14.9199015	18.73329123	13.25515552	371319.3329	1.120451355
8017.583333	-6.103616466	8.392878342	12.66238452	45000	13.27184736	15.24931496	19.08526651	13.32660711	372020.6266	1.121929797
8017.666667	-6.134373503	8.794235489	12.67920448	45000	13.04237994	15.2911008	19.18892191	13.53734303	372758.0459	1.12471169
8017.75	-6.165474837	8.862603175	12.44671301	45000	12.59357071	15.11216383	19.07572907	13.76489333	373532.5517	1.127548352
8017.833333	-6.196953181	8.735318422	12.18636437	45000	12.21011528	14.86918461	18.87720252	13.920382	374345.032	1.129301613
8017.916667	-6.228832688	8.617626308	12.03154369	45000	12.0390788	14.71974838	18.73890288	13.95289945	375196.2906	1.129315527
8018	-6.261701548	8.504906295	11.91853306	45000	11.92412522	14.61769076	18.63659928	13.96177838	376087.0343	1.129017897
8018.083333	-6.291890823	8.397296744	11.81740369	45000	11.82363497	14.51924731	18.5439838	13.98306216	377017.8597	1.128688223
8018.166667	-6.321450776	8.29405285	11.72129287	45000	11.72895938	14.4274864	18.45883401	14.00700432	377989.2399	1.128332609
8018.25	-6.354371738	8.189896289	11.6746105	45000	11.75598375	14.36535001	18.39868632	14.01509578	379001.5111	1.12673882
8018.333333	-6.38964318	8.081015716	11.67649099	45000	11.8503652	14.36336977	18.39184366	13.99894188	380054.8586	1.124931034
8018.416667	-6.426195403	7.969626029	11.72148014	45000	11.99690444	14.41062129	18.43377516	13.98051745	381149.3026	1.123128358
