 TIME                    	wind_r                   	ch_control               	tower_control            
 HOURS              	Unit1               	Unit2               	Unit3               
8016	20	0	0
8016.083333	24.35350038	1	1
8016.166667	29.53015222	0.787632395	1
8016.25	31.87088048	0.6674176	1
8016.333333	32.74034743	0.565376489	1
8016.416667	32.89666946	0.450492496	1
8016.5	32.83601517	0.313206063	0.946453492
8016.583333	33.24212761	0.169712289	0.759425998
8016.666667	34.59784125	0.115934706	0.429530715
8016.75	37.3769273	0.221681953	0.018775764
8016.833333	36.70663002	0.705784459	1
8016.916667	34.16334708	0.556261245	0.84020016
8017	33.15278147	0.384504084	0.691070367
8017.083333	33.1275375	0.229989078	0.534713724
8017.166667	34.15256942	0.128164318	0.286206773
8017.25	41.69135031	0.184314181	0
8017.333333	43.99516228	1	1
8017.416667	39.01530046	1	0.989767383
8017.5	35.10016147	0.904659135	0.877414517
8017.583333	33.04448405	0.707648389	0.718528719
8017.666667	32.1288458	0.471340314	0.530644247
8017.75	32.18359693	0.23461745	0.300398566
8017.833333	37.9508085	0.071926473	0
8017.916667	39.98130353	1	1
8018	36.76366685	1	0.927589951
8018.083333	34.59309986	0.888562579	0.894950414
8018.166667	33.52397885	0.739421621	0.862155899
8018.25	32.99973285	0.56614007	0.798040877
8018.333333	32.84425978	0.382690726	0.686006789
8018.416667	33.26179299	0.211391822	0.505189568
8018.5	34.85261618	0.1189948	0.222143681
8018.583333	43.38384011	0.237179183	0
8018.666667	46.25980203	1	1
8018.75	41.26586412	1	1
8018.833333	37.29766258	1	1
8018.916667	35.1291619	0.909065965	0.998042241
8019	33.95325402	0.759562727	0.941477099
8019.083333	33.36991746	0.581123113	0.848752482
8019.166667	33.22045909	0.393040571	0.71193506
8019.25	33.65903943	0.218787538	0.509703604
8019.333333	35.26881944	0.123529335	0.208054328
8019.416667	44.25997861	0.240103237	0
8019.5	47.42903916	1	1
8019.583333	42.57737578	1	1
8019.666667	38.53252309	1	1
8019.75	36.13062872	0.936242692	0.998033919
8019.833333	34.84750656	0.808014094	0.94482965
8019.916667	34.20774231	0.648763571	0.860912624
8020	33.97342529	0.477690347	0.741870707
8020.083333	34.14016419	0.31210127	0.574870984
8020.166667	34.99392467	0.183506687	0.336651659
8020.25	38.809197	0.17114855	0.021126401
8020.333333	39.48765746	0.794009472	1
8020.416667	37.03770027	0.774557071	0.906176897
8020.5	35.54099971	0.655339059	0.800679123
8020.583333	34.85655033	0.506843544	0.666626337
8020.666667	34.75604066	0.35359742	0.495448587
8020.75	35.33139391	0.226676224	0.273411641
8020.833333	39.65317877	0.190350114	0.015556897
8020.916667	40.80852649	0.919656469	1
8021	38.08877675	0.964541325	0.917834417
8021.083333	36.20081342	0.860292369	0.834631419
8021.166667	35.25904864	0.715058827	0.72651025
8021.25	34.88968737	0.5535225	0.594661868
8021.333333	34.9466483	0.396034635	0.434734442
8021.416667	35.56821944	0.268232847	0.241521984
8021.5	38.45387958	0.229433551	0.060474498
8021.583333	38.8584606	0.647310597	0.857191595
8021.666667	37.16081862	0.58237764	0.68676336
8021.75	36.48410591	0.499477814	0.591182486
8021.833333	36.29182388	0.431141779	0.522556485
8021.916667	36.18162777	0.362110825	0.416608703
8022	36.40931658	0.286436315	0.236727438
8022.083333	38.52528269	0.267831375	0.081240007
8022.166667	38.67885419	0.60550676	0.704525194
8022.25	37.27854891	0.548396211	0.585125326
8022.333333	36.65281947	0.49402924	0.53187161
8022.416667	36.24840289	0.42887311	0.45746182
8022.5	36.10389596	0.340335699	0.305986099
8022.583333	37.13740801	0.273599805	0.129776314
8022.666667	37.67534018	0.407175594	0.31146361
8022.75	37.57615566	0.40852919	0.275243386
8022.833333	37.46596015	0.447307206	0.333197318
8022.916667	37.05086886	0.449322577	0.349909404
8023	36.63846804	0.413098029	0.287843166
8023.083333	36.76083779	0.369804718	0.209641569
8023.166667	37.1213479	0.390188411	0.240446286
8023.25	37.27071459	0.4225299	0.289201895
8023.333333	37.10007011	0.449288894	0.34349637
8023.416667	36.66282024	0.447301725	0.34267393
8023.5	36.23494375	0.402371658	0.283509106
8023.583333	36.39099073	0.346171916	0.189149823
8023.666667	36.7879929	0.367707915	0.223305154
8023.75	36.93372418	0.396384024	0.261159069
8023.833333	36.87035072	0.420876573	0.308626896
8023.916667	36.57703702	0.428480856	0.351361904
8024	36.08700328	0.40732044	0.336581539
8024.083333	35.76031597	0.350051405	0.251142748
8024.166667	36.25387754	0.300913182	0.152173836
8024.25	36.50711606	0.370761365	0.26149823
8024.333333	36.46819511	0.367301497	0.234379342
8024.416667	36.41469724	0.39389229	0.293307395
8024.5	36.18187638	0.394417069	0.318774965
