   329
     1ABILENE         TX        32.43       .00       .00
 10484 13421 17887 20921 23122 25066 24277 22200 18131 14930 11439  9798
    31    35    50    77   102   128   128   120   117    83    44    30
   6.5   8.8  12.5  18.4  22.4  26.8  28.8  28.7  24.5  18.9  12.3   8.0
     2AKRON-CANTON    OH        40.92       .00       .00
  4860  7371 10942 15401 18928 20872 20279 18110 14434 10300  5728  4008
    24    31    31    34    82   108   124   114   101    54    31    31
  -3.2  -2.4   2.3   9.2  14.8  20.2  22.1  21.3  17.6  11.8   4.8  -1.4
     3ALBANY          NY        42.75       .00       .00
  5181  7813 11189 15153 17817 19632 19576 17011 13282  9275  5188  4039
    25    31    31    39    66   101   114   114    88    54    34    31
  -5.8  -4.7    .8   8.3  14.3  19.7  22.2  20.9  16.6  10.8   4.2  -3.4
     4ALBUQUERQUE     NM        35.05       .00       .00
 11536 15230 20060 25290 28805 30403 28243 25990 22377 17553 12866 10528
    24    24    20    25    35    43    84    84    60    41    27    24
   1.8   4.4   7.7  13.2  18.5  23.7  25.9  24.8  21.2  14.6   6.9   2.3
     5ALLENTOWN       PA        40.65       .00       .00
  5987  8665 12238 15998 18576 20166 20030 17546 14051 10509  6449  4885
    27    27    30    44    66   101   124   114    82    57    34    27
  -2.3  -1.4   3.4   9.9  15.6  20.8  23.4  22.1  18.2  12.3   5.7   -.7
     6ALPENA          MI        45.07       .00       .00
  4109  6998 11669 15972 19524 21324 21388 17969 13119  8433  4336  3069
    24    24    31    34    49    81   108   108    77    62    34    24
  -7.9  -7.6  -3.2   4.5  10.3  16.1  18.6  17.9  13.5   8.5   1.6  -4.8
     7AMARILLO        TX        35.23       .00       .00
 10897 14112 18508 22915 25100 27159 25881 23868 19980 15928 11722  9892
    24    27    27    43    71   102   110   102    89    52    31    27
   2.2   4.3   7.6  13.6  18.7  23.7  25.9  25.3  21.0  15.3   7.9   3.6
     8ANNETTE         AK        55.03       .00       .00
  2019  4253  8138 13046 16718 16633 16333 13191  9218  4792  2481  1390
    34    38    34    38    54    67    72    72    64    48    42    38
    .8   2.6   3.5   6.0   9.7  12.6  14.3  14.6  12.2   8.3   4.4   2.2
     9APALACHICOLA    FL        29.73       .00       .00
  9679 12778 16728 21324 23726 22678 20582 19151 17425 15564 11804  9279
    77    66    88   124   143   164   176   176   159   124   101    71
  12.1  13.2  15.9  20.2  23.8  26.7  27.4  27.5  25.9  21.6  16.2  12.9
    10ASHEVILLE       NC        35.43       .00       .00
  8190 11024 14822 18925 20478 21047 20157 18461 15444 13022  9633  7463
    31    49    44    77   101   132   147   147   124    88    49    34
   3.3   4.1   7.7  13.3  17.6  21.4  23.1  22.7  19.3  13.8   7.9   3.7
    11ASTORIA         OR        46.15       .00       .00
  3572  6189  9827 14223 18252 18450 19820 17010 13427  8093  4395  2958
    58    58    54    58    67    82    88    94    88    82    67    58
   4.8   6.4   6.9   8.8  11.3  13.6  15.6  15.7  14.7  11.6   8.1   6.0
    12ATLANTA         GA        33.65       .00       .00
  8144 10996 14795 19136 21039 21720 20566 19390 16138 13618 10020  7652
    34    39    57    82   108   139   154   147   132    88    44    39
   5.8   7.2  10.6  16.2  20.6  24.2  25.6  25.3  22.4  16.9  10.8   6.4
    13AUGUSTA         GA        33.37       .00       .00
  8523 11522 15188 19616 21167 21605 20468 18920 15998 13841 10401  8182
    39    49    66    88   121   147   167   154   147   101    57    39
   7.7   9.1  12.6  17.7  22.1  25.7  26.9  26.4  23.4  17.8  12.1   8.0
    14AUSTIN          TX        30.30       .00       .00
  9811 12763 16217 18216 20809 23515 23895 21918 18227 15131 11198  9364
    57    57    94   124   132   159   167   159   151   117    82    57
   9.8  11.8  15.3  20.3  24.0  27.6  29.2  29.3  26.1  21.2  15.1  11.3
    15BAKERSFIELD     CA        35.42       .00       .00
  8698 12505 18099 23773 28476 31202 30455 27472 22605 16550 10694  7688
    48    62    57    57    66    78    77    78    77    71    62    48
   8.6  11.3  13.7  17.1  21.0  24.9  28.8  27.6  24.8  19.4  13.3   8.8
    16BALTIMORE       MD        39.18       .00       .00
  6661  9533 13190 16886 19451 21326 20691 18153 15097 11322  7494  5667
    27    34    39    57    82   124   143   143   124    88    57    31
    .8   1.6   6.0  12.1  17.6  22.4  24.8  23.8  20.3  14.1   7.8   1.8
    17BARROW          AK        71.30       .00       .00
     0   837  5567 11919 12938 17336 16559  9712  4702  1426    41     0
     2     2     3     7    22    34    42    42    34    22     5     6
 -25.9 -28.1 -26.2 -18.3  -7.2    .6   3.7   3.1   -.9  -9.3 -18.1 -24.6
    18BATON ROUGE     LA        30.53       .00       .00
  8910 11963 15655 19080 21236 21861 19812 19030 16619 14766 10445  8362
    52    62   108   132   147   176   183   183   167   132    88    77
  10.6  12.2  15.4  20.2  23.8  26.8  27.8  27.6  25.3  20.3  14.8  11.6
    19BETHEL          AK        60.78       .00       .00
  1099  3594  8381 13623 16492 17232 14637 10441  7952  4203  1534   553
    17    22    24    30    41    57    71    71    58    31    34    25
 -14.9 -13.2 -11.4  -4.2   4.5  10.9  12.6  11.3   7.2  -1.0  -8.2 -15.3
    20BETTLES         AK        66.92       .00       .00
   114  1955  6986 13940 19278 21077 17734 12201  7629  2861   457     0
     4     7    14    27    35    60    77   107    43    27    16     8
 -25.1 -22.1 -16.9  -6.4   5.4  13.4  14.4  11.1   4.4  -6.7 -18.6 -24.6
    21BIG DELTA       AK        64.00       .00       .00
   521  2804  8072 14121 18949 20231 18315 13948  8703  3701  1051   103
     4     7    14    27    35    60    77   107    43    27    16     8
 -20.5 -15.9 -10.9  -1.4   7.9  13.9  15.2  12.7   6.4  -3.8 -13.9 -20.1
    22BILLINGS        MT        45.80       .00       .00
  5516  8661 13499 17322 21708 24669 27053 22952 16683 11199  6371  4780
    24    24    27    35    52    66    71    71    50    36    28    24
  -5.6  -2.6    .3   7.0  12.5  17.0  22.1  21.2  14.9   9.6   2.1  -2.9
    23BINGHAMTON      NY        42.22       .00       .00
  4378  6535  9774 14091 16977 19082 18830 16168 12837  8843  4696  3373
    27    27    27    41    66   101   117   114    88    57    34    27
  -5.6  -5.1   -.4   7.1  12.8  18.2  20.6  19.6  15.7  10.2   3.4  -3.7
    24BIRMINGHAM      AL        33.57       .00       .00
  8019 10975 14709 18993 21074 21773 20539 19563 16508 13741  9736  7506
    39    44    66    89   114   139   159   159   132    94    57    39
   6.8   8.3  11.8  17.3  21.4  25.2  26.6  26.2  23.3  17.4  11.2   7.3
    25BISMARCK        ND        46.77       .00       .00
  5298  8803 13257 16562 20974 23376 24782 21298 15372 10302  5757  4232
     7    27    31    30    57    88   101    94    57    39    31    22
 -13.2 -10.3  -3.8   6.1  12.4  17.7  21.6  20.7  14.2   8.2  -1.7  -9.1
    26BOISE           ID        43.57       .00       .00
  5508  9530 14800 20733 25838 27955 29651 24928 19715 12913  7130  4962
    27    30    30    36    48    60    54    54    41    41    35    27
  -1.7   1.9   5.1   9.4  14.1  18.2  23.6  22.3  17.3  11.2   4.3    .1
    27BOSTON          MA        42.37       .00       .00
  5396  8053 11535 15046 18391 20622 19852 16870 14298 10096  5707  4574
    27    27    27    39    57   101   124   108    88    62    34    34
  -1.6   -.9   3.4   9.2  14.8  20.0  22.9  21.8  18.1  13.0   7.3    .6
    28BROWNSVILLE     TX        25.90       .00       .00
 10359 12886 16545 19715 21870 24006 25109 23008 19224 16330 11968  9787
   114   114   132   147   167   183   191   191   176   159   139   114
  15.7  17.4  19.8  23.8  26.3  28.2  29.1  29.1  27.6  24.3  20.1  17.1
    29BRYCE CANYON    UT        37.70       .00       .00
 10370 14024 19121 24207 27848 30131 27509 24476 21789 16625 11523  9286
    24    24    21    23    29    27    32    38    29    24    24    21
  -6.8  -4.9  -1.8   3.2   7.9  12.3  16.4  15.5  11.6   6.0   -.7  -5.3
    30BUFFALO         NY        42.93       .00       .00
  3960  6201 10083 14923 18119 20470 20160 17173 13072  8902  4578  3215
    24    31    31    43    54   101   117   114    77    54    34    31
  -4.6  -4.2    .1   7.2  12.8  18.7  21.2  20.2  16.4  10.8   4.3  -2.3
    31BURLINGTON      IA        40.78       .00       .00
  6573  9744 13223 17454 21286 24071 23661 20747 16076 12039  7532  5455
    24    31    31    44    82   117   132   132   101    66    34    31
  -5.1  -2.6   2.7  10.7  16.6  21.9  24.1  23.3  18.6  12.9   4.3  -2.4
    32BURLINGTON      VT        44.47       .00       .00
  4373  6887 10670 14711 17864 19621 19533 16740 12736  8404  4251  3214
    19    14    31    30    52    82   101   101    82    57    27    24
  -8.4  -7.4  -1.6   6.1  12.7  18.4  21.0  19.7  15.2   9.3   2.8  -5.2
