 TIME                    	IColl                    	QuColl                   	QDHW                     	QAux                     	EtaColl_d                	FSol_d                   	
  +3.6240000000000000E+03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.0000000000000000E+00	
  +3.6480000000000000E+03	  +1.1250573492730142E+04	  -2.3692202071276963E+04	  +2.5139959669956363E+04	  +3.8250000000000000E+04	  -4.2117323327855488E-01	  -5.2148215433254563E-01	
  +3.6720000000000000E+03	  +2.5444346784790261E+04	  -5.6817303393326569E+04	  +2.5140002841636961E+04	  +4.5000000000000000E+03	  -4.4660060541890872E-01	  +8.2100240687450965E-01	
  +3.6960000000000000E+03	  +2.3582636196550018E+04	  -4.0287547635228169E+04	  +2.5140196964307670E+04	  +0.0000000000000000E+00	  -3.4167128135386576E-01	  +1.0000000000000000E+00	
  +3.7200000000000000E+03	  +2.0459081011214053E+04	  -2.7788213822800335E+04	  +2.5140085718402413E+04	  +0.0000000000000000E+00	  -2.7164674510353015E-01	  +1.0000000000000000E+00	
  +3.7440000000000000E+03	  +1.9254738120519898E+04	  -2.7793932779656068E+04	  +2.5140080617023174E+04	  +0.0000000000000000E+00	  -2.8869707399185240E-01	  +1.0000000000000000E+00	
  +3.7680000000000000E+03	  +1.8799542876407220E+04	  -3.0089389725088884E+04	  +2.5140072441203629E+04	  +0.0000000000000000E+00	  -3.2010767413424640E-01	  +1.0000000000000000E+00	
  +3.7920000000000000E+03	  +1.5052611851667603E+04	  -1.9868814288844551E+04	  +2.5140124469366150E+04	  +0.0000000000000000E+00	  -2.6399158477443097E-01	  +1.0000000000000000E+00	
  +3.8160000000000000E+03	  +8.6265962441687934E+03	  -9.9836050974678965E+03	  +2.5139950976858301E+04	  +1.1250000000000000E+04	  -2.3146104940253628E-01	  +5.5250509398732328E-01	
  +3.8400000000000000E+03	  +2.3944021247769691E+04	  -4.9631166675885521E+04	  +2.5139991493565929E+04	  +6.7500000000000000E+03	  -4.1455999526473813E-01	  +7.3150348911378793E-01	
  +3.8640000000000000E+03	  +2.4403293041524797E+04	  -4.4334838942118833E+04	  +2.5140131989810012E+04	  +0.0000000000000000E+00	  -3.6335128104485770E-01	  +1.0000000000000000E+00	
  +3.8880000000000000E+03	  +1.2371920040512308E+04	  -1.2694699363514124E+04	  +2.5140045431861741E+04	  +0.0000000000000000E+00	  -2.0521793418870546E-01	  +1.0000000000000000E+00	
  +3.9120000000000000E+03	  +1.8540249819521472E+04	  -3.1576037886811027E+04	  +2.5140248701189259E+04	  +2.2500000000000000E+03	  -3.4062149317128665E-01	  +9.1050207869248068E-01	
  +3.9360000000000000E+03	  +2.5253605782068040E+04	  -5.3093605940203612E+04	  +2.5139948733926292E+04	  +2.2500000000000000E+03	  -4.2048336699295102E-01	  +9.1050101081255863E-01	
  +3.9600000000000000E+03	  +2.4015031219091346E+04	  -3.8904955758004282E+04	  +2.5140001731721717E+04	  +0.0000000000000000E+00	  -3.2400504003302577E-01	  +1.0000000000000000E+00	
  +3.9840000000000000E+03	  +1.1523242567206118E+04	  -8.2094565781905421E+03	  +2.5139973073198435E+04	  +0.0000000000000000E+00	  -1.4248518210336503E-01	  +1.0000000000000000E+00	
  +4.0080000000000000E+03	  +1.4072886900511128E+04	  -2.7308693707280894E+04	  +2.5140166171681300E+04	  +2.2500000000000000E+03	  -3.8810364781516066E-01	  +9.1050178489094580E-01	
  +4.0320000000000000E+03	  +1.3092475605798862E+04	  -2.0984770909483359E+04	  +2.5140185779548152E+04	  +4.5000000000000000E+03	  -3.2056230679350378E-01	  +8.2100370938858336E-01	
  +4.0560000000000000E+03	  +1.1296295806446818E+04	  -2.0388518090868307E+04	  +2.5139906959483251E+04	  +9.0000000000000000E+03	  -3.6097705725573442E-01	  +6.4200344837604773E-01	
  +4.0800000000000000E+03	  +2.4912010606307977E+04	  -5.7704045302971506E+04	  +2.5139960441443240E+04	  +4.5000000000000000E+03	  -4.6326285111565418E-01	  +8.2100210498331772E-01	
  +4.1040000000000000E+03	  +2.0158023789353643E+04	  -3.5909096540403749E+04	  +2.5140265971582008E+04	  +0.0000000000000000E+00	  -3.5627596152567975E-01	  +1.0000000000000000E+00	
  +4.1280000000000000E+03	  +6.5834691204695891E+03	  -2.6978667175170822E+03	  +2.5140253736706436E+04	  +0.0000000000000000E+00	  -8.1958817397557365E-02	  +1.0000000000000000E+00	
  +4.1520000000000000E+03	  +5.8668854820600945E+03	  -7.2700466193029715E+03	  +2.5139952377774105E+04	  +1.3500000000000000E+04	  -2.4783325467271056E-01	  +4.6300614270860052E-01	
  +4.1760000000000000E+03	  +8.9677948520161408E+03	  -1.8861758228216167E+04	  +2.5139970276692904E+04	  +1.3500000000000000E+04	  -4.2065543512193543E-01	  +4.6300652503241957E-01	
