805	920	960	!Air Flow Rate (l/s)			
15	17.22	19.44	21.67	!Return air wet bulb (C) 		
22.22	23.33	24.44	25.56	26.67	!Return air dry bulb (C) 	
29.44	32.22	35	37.78	40.56	46.11	!Outdoor air dry bulb (C)
39102	38055	18201		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 15 [C],22.22 [C], and 29.44 [C]		
38922	38231	18830		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 15 [C],22.22 [C], and 32.22 [C]		
38662	38140	19614		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 15 [C],22.22 [C], and 35 [C]		
37879	38571	20690		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 15 [C],22.22 [C], and 37.78 [C]		
37091	39029	21929		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 15 [C],22.22 [C], and 40.56 [C]		
35782	39827	24268		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 15 [C],22.22 [C], and 46.11 [C]		
39102	41504	18201		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 15 [C],23.33 [C], and 29.44 [C]		
38922	41350	18830		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 15 [C],23.33 [C], and 32.22 [C]		
38662	41628	19614		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 15 [C],23.33 [C], and 35 [C]		
37879	41772	20690		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 15 [C],23.33 [C], and 37.78 [C]		
37091	42302	21929		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 15 [C],23.33 [C], and 40.56 [C]		
35782	43474	24268		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 15 [C],23.33 [C], and 46.11 [C]		
39102	44837	18201		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 15 [C],24.44 [C], and 29.44 [C]		
38922	44703	18830		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 15 [C],24.44 [C], and 32.22 [C]		
38662	45003	19614		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 15 [C],24.44 [C], and 35 [C]		
