963	1100	1148	!Air flow rate (l/s)													
15.56	21.11	23.89	26.67	!Return air dry bulb temperature (C)												
-19.44	-16.67	-13.89	-11.11	-8.33	-5.56	-2.78	0	2.78	5.56	8.33	11.11	13.89	16.67	19.44	22.22	!Outdoor dry bulb temperature (C) 
19861	43703		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and -19.44 [C]													
23252	39556		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and -16.67 [C]													
26738	36338		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and -13.89 [C]													
30126	33972		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and -11.11 [C]													
33522	32076		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and -8.33 [C]													
37493	29542		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and -5.56 [C]													
42046	27114		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and -2.78 [C]													
46309	25600		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and 0 [C]													
50571	24084		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and 2.78 [C]													
54833	22802		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and 5.56 [C]													
51637	21451		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and 8.33 [C]													
54833	20318		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and 11.11 [C]													
57935	19344		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and 13.89 [C]													
61032	18467		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and 16.67 [C]													
64135	17676		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and 19.44 [C]													
67325	16934		!Capacity (kJ/h) and power (kJ/h) at 963 (l/s), 15.56 [C], and 22.22 [C]													
