2000	4840	7680	!Air Flow Rate (l/s)			
15	17.22	19.44	21.67	!Return air wet bulb (C) 		
22.22	23.33	24.44	25.56	26.67	!Return air dry bulb (C) 	
29.44	32.22	35	37.78	40.56	46.11	!Outdoor air dry bulb (C)
220616	182184	87134	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],22.22 [C], and 29.44 [C]"			
219601	182184	89730	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],22.22 [C], and 32.22 [C]"			
218134	180539	92841	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],22.22 [C], and 35 [C]"			
213717	178879	95952	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],22.22 [C], and 37.78 [C]"			
209267	177235	99580	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],22.22 [C], and 40.56 [C]"			
201884	174478	106318	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],22.22 [C], and 46.11 [C]"			
220616	198692	87134	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],23.33 [C], and 29.44 [C]"			
219601	197047	89730	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],23.33 [C], and 32.22 [C]"			
218134	197047	92841	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],23.33 [C], and 35 [C]"			
213717	193726	95952	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],23.33 [C], and 37.78 [C]"			
209267	192098	99580	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],23.33 [C], and 40.56 [C]"			
201884	190454	106318	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],23.33 [C], and 46.11 [C]"			
220616	214652	87134	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],24.44 [C], and 29.44 [C]"			
219601	213023	89730	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],24.44 [C], and 32.22 [C]"			
218134	213023	92841	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],24.44 [C], and 35 [C]"			
213717	211347	95952	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],24.44 [C], and 37.78 [C]"			
209267	209719	99580	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],24.44 [C], and 40.56 [C]"			
201884	206398	106318	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],24.44 [C], and 46.11 [C]"			
220616	228983	87134	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],25.56 [C], and 29.44 [C]"			
219601	228983	89730	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],25.56 [C], and 32.22 [C]"			
218134	227307	92841	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],25.56 [C], and 35 [C]"			
213717	225678	95952	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],25.56 [C], and 37.78 [C]"			
209267	224018	99580	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],25.56 [C], and 40.56 [C]"			
201884	217972	106318	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],25.56 [C], and 46.11 [C]"			
220616	240526	87134	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],26.67 [C], and 29.44 [C]"			
219601	240526	89730	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],26.67 [C], and 32.22 [C]"			
218134	238898	92841	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],26.67 [C], and 35 [C]"			
213717	235593	95952	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],26.67 [C], and 37.78 [C]"			
209267	230627	99580	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],26.67 [C], and 40.56 [C]"			
201884	224018	106318	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 15 [C],26.67 [C], and 46.11 [C]"			
240784	153021	88698	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],22.22 [C], and 29.44 [C]"			
238349	151908	91277	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],22.22 [C], and 32.22 [C]"			
236866	150264	94389	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],22.22 [C], and 35 [C]"			
232417	148604	97500	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],22.22 [C], and 37.78 [C]"			
226517	146959	100627	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],22.22 [C], and 40.56 [C]"			
218134	143655	107350	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],22.22 [C], and 46.11 [C]"			
240784	167901	88698	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],23.33 [C], and 29.44 [C]"			
238349	166224	91277	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],23.33 [C], and 32.22 [C]"			
236866	166224	94389	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],23.33 [C], and 35 [C]"			
232417	164563	97500	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],23.33 [C], and 37.78 [C]"			
226517	162935	100627	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],23.33 [C], and 40.56 [C]"			
218134	159614	107350	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],23.33 [C], and 46.11 [C]"			
240784	183844	88698	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],24.44 [C], and 29.44 [C]"			
238349	183844	91277	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],24.44 [C], and 32.22 [C]"			
236866	182184	94389	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],24.44 [C], and 35 [C]"			
232417	180539	97500	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],24.44 [C], and 37.78 [C]"			
226517	178879	100627	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],24.44 [C], and 40.56 [C]"			
218134	174478	107350	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],24.44 [C], and 46.11 [C]"			
240784	199804	88698	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],25.56 [C], and 29.44 [C]"			
238349	198692	91277	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],25.56 [C], and 32.22 [C]"			
236866	197047	94389	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],25.56 [C], and 35 [C]"			
232417	195403	97500	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],25.56 [C], and 37.78 [C]"			
226517	193726	100627	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],25.56 [C], and 40.56 [C]"			
218134	190454	107350	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],25.56 [C], and 46.11 [C]"			
240784	214652	88698	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],26.67 [C], and 29.44 [C]"			
238349	214652	91277	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],26.67 [C], and 32.22 [C]"			
236866	214652	94389	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],26.67 [C], and 35 [C]"			
232417	211347	97500	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],26.67 [C], and 37.78 [C]"			
226517	209719	100627	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],26.67 [C], and 40.56 [C]"			
218134	206398	107350	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 17.22 [C],26.67 [C], and 46.11 [C]"			
260000	119441	90246	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],22.22 [C], and 29.44 [C]"			
257034	117780	92841	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],22.22 [C], and 32.22 [C]"			
254100	116136	95952	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],22.22 [C], and 35 [C]"			
248167	114492	99064	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],22.22 [C], and 37.78 [C]"			
245233	114492	102175	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],22.22 [C], and 40.56 [C]"			
235383	109542	108398	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],22.22 [C], and 46.11 [C]"			
260000	135417	90246	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],23.33 [C], and 29.44 [C]"			
257034	133740	92841	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],23.33 [C], and 32.22 [C]"			
254100	133740	95952	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],23.33 [C], and 35 [C]"			
248167	130451	99064	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],23.33 [C], and 37.78 [C]"			
245233	128775	102175	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],23.33 [C], and 40.56 [C]"			
235383	126034	108398	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],23.33 [C], and 46.11 [C]"			
260000	150264	90246	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],24.44 [C], and 29.44 [C]"			
257034	150264	92841	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],24.44 [C], and 32.22 [C]"			
254100	148604	95952	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],24.44 [C], and 35 [C]"			
248167	146959	99064	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],24.44 [C], and 37.78 [C]"			
245233	143655	102175	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],24.44 [C], and 40.56 [C]"			
235383	140366	108398	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],24.44 [C], and 46.11 [C]"			
260000	166224	90246	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],25.56 [C], and 29.44 [C]"			
257034	164563	92841	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],25.56 [C], and 32.22 [C]"			
254100	164563	95952	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],25.56 [C], and 35 [C]"			
248167	162935	99064	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],25.56 [C], and 37.78 [C]"			
245233	161259	102175	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],25.56 [C], and 40.56 [C]"			
235383	156310	108398	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],25.56 [C], and 46.11 [C]"			
260000	182184	90246	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],26.67 [C], and 29.44 [C]"			
257034	180539	92841	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],26.67 [C], and 32.22 [C]"			
254100	180539	95952	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],26.67 [C], and 35 [C]"			
248167	177235	99064	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],26.67 [C], and 37.78 [C]"			
245233	175574	102175	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],26.67 [C], and 40.56 [C]"			
235383	172834	108398	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 19.44 [C],26.67 [C], and 46.11 [C]"			
281651	85313	91809	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],22.22 [C], and 29.44 [C]"			
277233	85313	94921	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],22.22 [C], and 32.22 [C]"			
274267	83652	97500	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],22.22 [C], and 35 [C]"			
268367	82024	100627	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],22.22 [C], and 37.78 [C]"			
262450	79267	103207	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],22.22 [C], and 40.56 [C]"			
251133	75962	109430	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],22.22 [C], and 46.11 [C]"			
281651	101837	91809	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],23.33 [C], and 29.44 [C]"			
277233	100160	94921	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],23.33 [C], and 32.22 [C]"			
274267	98532	97500	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],23.33 [C], and 35 [C]"			
268367	96871	100627	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],23.33 [C], and 37.78 [C]"			
262450	95227	103207	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],23.33 [C], and 40.56 [C]"			
251133	90262	109430	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],23.33 [C], and 46.11 [C]"			
281651	116136	91809	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 262.5 (l/s), 21.67 [C],24.44 [C], and 29.44 [C]"			
