Time	Building Load (kJ/h)
1	13242
2	14400
3	15394
4	16157
5	16636
6	16800
7	16636
8	16157
9	15394
10	14400
11	13242
12	12000
13	10758
14	9600
15	8606
16	7843
17	7364
18	7200
19	7364
20	7843
21	8606
22	9600
23	10758
24	12000
25	13242
26	14400
27	15394
28	16157
29	16636
30	16800
31	16636
32	16157
33	15394
34	14400
35	13242
36	12000
37	10758
38	9600
39	8606
40	7843
41	7364
42	7200
43	7364
44	7843
45	8606
46	9600
47	10758
48	12000
49	13242
50	14400
51	15394
52	16157
53	16636
54	16800
55	16636
56	16157
57	15394
58	14400
59	13242
60	12000
61	10758
62	9600
63	8606
64	7843
65	7364
66	7200
67	7364
68	7843
69	8606
70	9600
71	10758
72	12000
73	13242
74	14400
75	15394
76	16157
77	16636
78	16800
79	16636
80	16157
81	15394
82	14400
83	13242
84	12000
85	10758
86	9600
87	8606
88	7843
89	7364
90	7200
91	7364
92	7843
93	8606
94	9600
95	10758
96	12000
97	13242
98	14400
99	15394
100	16157
101	16636
102	16800
103	16636
104	16157
105	15394
106	14400
107	13242
108	12000
109	10758
110	9600
111	8606
112	7843
113	7364
114	7200
115	7364
116	7843
117	8606
118	9600
119	10758
120	12000
121	13242
122	14400
123	15394
124	16157
125	16636
126	16800
127	16636
128	16157
129	15394
130	14400
131	13242
132	12000
133	10758
134	9600
135	8606
136	7843
137	7364
138	7200
139	7364
140	7843
141	8606
142	9600
143	10758
144	12000
145	13242
146	14400
147	15394
148	16157
149	16636
150	16800
151	16636
152	16157
153	15394
154	14400
155	13242
156	12000
157	10758
158	9600
159	8606
160	7843
161	7364
162	7200
163	7364
164	7843
165	8606
166	9600
167	10758
168	12000
169	13242
170	14400
171	15394
172	16157
173	16636
174	16800
175	16636
176	16157
177	15394
178	14400
179	13242
180	12000
181	10758
182	9600
183	8606
184	7843
185	7364
186	7200
187	7364
188	7843
189	8606
190	9600
191	10758
192	12000
193	13242
194	14400
195	15394
196	16157
197	16636
198	16800
199	16636
200	16157
201	15394
202	14400
203	13242
204	12000
205	10758
206	9600
207	8606
208	7843
209	7364
210	7200
211	7364
212	7843
213	8606
214	9600
215	10758
216	12000
217	13242
218	14400
219	15394
220	16157
221	16636
222	16800
223	16636
224	16157
225	15394
226	14400
227	13242
228	12000
229	10758
230	9600
231	8606
232	7843
233	7364
234	7200
235	7364
236	7843
237	8606
238	9600
239	10758
240	12000
241	13242
242	14400
243	15394
244	16157
245	16636
246	16800
247	16636
248	16157
249	15394
250	14400
251	13242
252	12000
253	10758
254	9600
255	8606
256	7843
257	7364
258	7200
259	7364
260	7843
261	8606
262	9600
263	10758
264	12000
265	13242
266	14400
267	15394
268	16157
269	16636
270	16800
271	16636
272	16157
273	15394
274	14400
275	13242
276	12000
277	10758
278	9600
279	8606
280	7843
281	7364
282	7200
283	7364
284	7843
285	8606
286	9600
287	10758
288	12000
289	13242
290	14400
291	15394
292	16157
293	16636
294	16800
295	16636
296	16157
297	15394
298	14400
299	13242
300	12000
301	10758
302	9600
303	8606
304	7843
305	7364
306	7200
307	7364
308	7843
309	8606
310	9600
311	10758
312	12000
313	13242
314	14400
315	15394
316	16157
317	16636
318	16800
319	16636
320	16157
321	15394
322	14400
323	13242
324	12000
325	10758
326	9600
327	8606
328	7843
329	7364
330	7200
331	7364
332	7843
333	8606
334	9600
335	10758
336	12000
337	13242
338	14400
339	15394
340	16157
341	16636
342	16800
343	16636
344	16157
345	15394
346	14400
347	13242
348	12000
349	10758
350	9600
351	8606
352	7843
353	7364
354	7200
355	7364
356	7843
357	8606
358	9600
359	10758
360	12000
361	13242
362	14400
363	15394
364	16157
365	16636
366	16800
367	16636
368	16157
369	15394
370	14400
371	13242
372	12000
373	10758
374	9600
375	8606
376	7843
377	7364
378	7200
379	7364
380	7843
381	8606
382	9600
383	10758
384	12000
385	13242
386	14400
387	15394
388	16157
389	16636
390	16800
391	16636
392	16157
393	15394
394	14400
395	13242
396	12000
397	10758
398	9600
399	8606
400	7843
401	7364
402	7200
403	7364
404	7843
405	8606
406	9600
407	10758
408	12000
409	13242
410	14400
411	15394
412	16157
413	16636
414	16800
415	16636
416	16157
417	15394
418	14400
419	13242
420	12000
421	10758
422	9600
423	8606
424	7843
425	7364
426	7200
427	7364
428	7843
429	8606
430	9600
431	10758
432	12000
433	13242
434	14400
435	15394
436	16157
437	16636
438	16800
439	16636
440	16157
441	15394
442	14400
443	13242
444	12000
445	10758
446	9600
447	8606
448	7843
449	7364
450	7200
451	7364
452	7843
453	8606
454	9600
455	10758
456	12000
457	13242
458	14400
459	15394
460	16157
461	16636
462	16800
463	16636
464	16157
465	15394
466	14400
467	13242
468	12000
469	10758
470	9600
471	8606
472	7843
473	7364
474	7200
475	7364
476	7843
477	8606
478	9600
479	10758
480	12000
481	13242
482	14400
483	15394
484	16157
485	16636
486	16800
487	16636
488	16157
489	15394
490	14400
491	13242
492	12000
493	10758
494	9600
495	8606
496	7843
497	7364
498	7200
499	7364
500	7843
501	8606
502	9600
503	10758
504	12000
505	13242
506	14400
507	15394
508	16157
509	16636
510	16800
511	16636
512	16157
513	15394
514	14400
515	13242
516	12000
517	10758
518	9600
519	8606
520	7843
521	7364
522	7200
523	7364
524	7843
525	8606
526	9600
527	10758
528	12000
529	13242
530	14400
531	15394
532	16157
533	16636
534	16800
535	16636
536	16157
537	15394
538	14400
539	13242
540	12000
541	10758
542	9600
543	8606
544	7843
545	7364
546	7200
547	7364
548	7843
549	8606
550	9600
551	10758
552	12000
553	13242
554	14400
555	15394
556	16157
557	16636
558	16800
559	16636
560	16157
561	15394
562	14400
563	13242
564	12000
565	10758
566	9600
567	8606
568	7843
569	7364
570	7200
571	7364
572	7843
573	8606
574	9600
575	10758
576	12000
577	13242
578	14400
579	15394
580	16157
581	16636
582	16800
583	16636
584	16157
585	15394
586	14400
587	13242
588	12000
589	10758
590	9600
591	8606
592	7843
593	7364
594	7200
595	7364
596	7843
597	8606
598	9600
599	10758
600	12000
601	13242
602	14400
603	15394
604	16157
605	16636
606	16800
607	16636
608	16157
609	15394
610	14400
611	13242
612	12000
613	10758
614	9600
615	8606
616	7843
617	7364
618	7200
619	7364
620	7843
621	8606
622	9600
623	10758
624	12000
625	13242
626	14400
627	15394
628	16157
629	16636
630	16800
631	16636
632	16157
633	15394
634	14400
635	13242
636	12000
637	10758
638	9600
639	8606
640	7843
641	7364
642	7200
643	7364
644	7843
645	8606
646	9600
647	10758
648	12000
649	13242
650	14400
651	15394
652	16157
653	16636
654	16800
655	16636
656	16157
657	15394
658	14400
659	13242
660	12000
661	10758
662	9600
663	8606
664	7843
665	7364
666	7200
667	7364
668	7843
669	8606
670	9600
671	10758
672	12000
673	13242
674	14400
675	15394
676	16157
677	16636
678	16800
679	16636
680	16157
681	15394
682	14400
683	13242
684	12000
685	10758
686	9600
687	8606
688	7843
689	7364
690	7200
691	7364
692	7843
693	8606
694	9600
695	10758
696	12000
697	13242
698	14400
699	15394
700	16157
701	16636
702	16800
703	16636
704	16157
705	15394
706	14400
707	13242
708	12000
709	10758
710	9600
711	8606
712	7843
713	7364
714	7200
715	7364
716	7843
717	8606
718	9600
719	10758
720	12000
721	13242
722	14400
723	15394
724	16157
725	16636
726	16800
727	16636
728	16157
729	15394
730	14400
731	13242
732	12000
733	10758
734	9600
735	8606
736	7843
737	7364
738	7200
739	7364
740	7843
741	8606
742	9600
743	10758
744	12000
745	13242
746	14400
747	15394
748	16157
749	16636
750	16800
751	16636
752	16157
753	15394
754	14400
755	13242
756	12000
757	10758
758	9600
759	8606
760	7843
761	7364
762	7200
763	7364
764	7843
765	8606
766	9600
767	10758
768	12000
769	13242
770	14400
771	15394
772	16157
773	16636
774	16800
775	16636
776	16157
777	15394
778	14400
779	13242
780	12000
781	10758
782	9600
783	8606
784	7843
785	7364
786	7200
787	7364
788	7843
789	8606
790	9600
791	10758
792	12000
793	13242
