 TIME                    	IColl                    	QuColl                   	QDHW                     	QAux                     	EtaColl_d                	FSol_d                   	
  +3.6240000000000000E+03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.0000000000000000E+00	
  +3.6480000000000000E+03	  +1.1481945389192178E+04	  +2.0832361263265615E+04	  +7.0391979514887337E+00	  +1.0559421503179694E+03	  +3.6287163118737703E-01	  -1.4900885151777769E+02	
  +3.6720000000000000E+03	  +2.5000765069971425E+04	  +5.0959150784714104E+04	  +7.0391987469862851E+00	  +0.0000000000000000E+00	  +4.0766073071510761E-01	  +1.0000000000000000E+00	
  +3.6960000000000000E+03	  +2.3192535387569129E+04	  +2.5004034273108933E+04	  +7.0391999881808349E+00	  +0.0000000000000000E+00	  +2.1562139589356946E-01	  +1.0000000000000000E+00	
  +3.7200000000000000E+03	  +2.0262367644459879E+04	  +8.0811528419851575E+03	  +7.0395346362503624E+00	  +0.0000000000000000E+00	  +7.9765138839684765E-02	  +1.0000000000000000E+00	
  +3.7440000000000000E+03	  +1.9125081530744403E+04	  +1.1894376599217718E+04	  +7.0391999915895367E+00	  +0.0000000000000000E+00	  +1.2438510737821018E-01	  +1.0000000000000000E+00	
  +3.7680000000000000E+03	  +1.8713674285647965E+04	  +1.0130597608603028E+04	  +7.0396051805898887E+00	  +0.0000000000000000E+00	  +1.0826946599433115E-01	  +1.0000000000000000E+00	
  +3.7920000000000000E+03	  +1.5294135019559422E+04	  +6.7279806796097955E+02	  +7.0391999924259476E+00	  +0.0000000000000000E+00	  +8.7981185871806537E-03	  +1.0000000000000000E+00	
  +3.8160000000000000E+03	  +9.0316239095049168E+03	  +0.0000000000000000E+00	  +7.0391999368385392E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.0000000000000000E+00	
  +3.8400000000000000E+03	  +2.3478074255939060E+04	  +3.0375360370308215E+04	  +7.0356369423359642E+00	  +0.0000000000000000E+00	  +2.5875512649735871E-01	  +1.0000000000000000E+00	
