 TIME                    	IColl                    	QuColl                   	QDHW                     	QAux                     	EtaColl_d                	FSol_d                   	
  +3.6240000000000000E+03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.0000000000000000E+00	
  +3.6480000000000000E+03	  +2.4590179529095756E+04	  +6.3352198948040859E+04	  +2.5065941976058515E+04	  +3.7934645925430937E+03	  +5.1526422466794586E-01	  +8.4866060106518060E-01	
  +3.6720000000000000E+03	  +2.5906242709361577E+04	  +5.3025018713036799E+04	  +2.5139781813287853E+04	  +0.0000000000000000E+00	  +4.0936093518081745E-01	  +1.0000000000000000E+00	
  +3.6960000000000000E+03	  +2.6424794626508894E+04	  +4.6692053238163448E+04	  +2.5139924328249243E+04	  +0.0000000000000000E+00	  +3.5339577012999296E-01	  +1.0000000000000000E+00	
  +3.7200000000000000E+03	  +2.5652412983110171E+04	  +3.8714103727418944E+04	  +2.5140493266941688E+04	  +0.0000000000000000E+00	  +3.0183596180684363E-01	  +1.0000000000000000E+00	
  +3.7440000000000000E+03	  +2.5383387956405797E+04	  +3.8602511947971623E+04	  +2.5140418854389776E+04	  +0.0000000000000000E+00	  +3.0415571013581477E-01	  +1.0000000000000000E+00	
  +3.7680000000000000E+03	  +2.2317322610024028E+04	  +3.2495930684410258E+04	  +2.5141337475768396E+04	  +0.0000000000000000E+00	  +2.9121710746362739E-01	  +1.0000000000000000E+00	
  +3.7920000000000000E+03	  +2.3435253514414911E+04	  +3.9023515048879497E+04	  +2.5139894595617865E+04	  +0.0000000000000000E+00	  +3.3303258293786570E-01	  +1.0000000000000000E+00	
  +3.8160000000000000E+03	  +2.5008470780878542E+04	  +3.9620172602311584E+04	  +2.5139910893458909E+04	  +0.0000000000000000E+00	  +3.1685402077673847E-01	  +1.0000000000000000E+00	
  +3.8400000000000000E+03	  +2.3888893816105778E+04	  +3.8073068682441619E+04	  +2.5139903617975509E+04	  +0.0000000000000000E+00	  +3.1875120694332182E-01	  +1.0000000000000000E+00	
  +3.8640000000000000E+03	  +2.3941808212791253E+04	  +3.7036714238448199E+04	  +2.5139915013015383E+04	  +0.0000000000000000E+00	  +3.0938944885834829E-01	  +1.0000000000000000E+00	
  +3.8880000000000000E+03	  +2.1522659429765707E+04	  +3.3074718502221971E+04	  +2.5139145793488817E+04	  +0.0000000000000000E+00	  +3.0734787780149964E-01	  +1.0000000000000000E+00	
  +3.9120000000000000E+03	  +1.8296652451972917E+04	  +2.1893803290828437E+04	  +2.5139868302224429E+04	  +0.0000000000000000E+00	  +2.3932031663232825E-01	  +1.0000000000000000E+00	
  +3.9360000000000000E+03	  +2.3388813860572543E+04	  +3.8865988854845142E+04	  +2.5140401852273739E+04	  +0.0000000000000000E+00	  +3.3234681404712657E-01	  +1.0000000000000000E+00	
  +3.9600000000000000E+03	  +2.1997577146033862E+04	  +3.7751050669580152E+04	  +2.5139801111739624E+04	  +0.0000000000000000E+00	  +3.4322916945463150E-01	  +1.0000000000000000E+00	
  +3.9840000000000000E+03	  +1.9013488398067464E+04	  +2.7465038890170483E+04	  +2.5139152144239149E+04	  +0.0000000000000000E+00	  +2.8890057747291797E-01	  +1.0000000000000000E+00	
  +4.0080000000000000E+03	  +2.2031501339726234E+04	  +3.7393634314872979E+04	  +2.5139031820479857E+04	  +0.0000000000000000E+00	  +3.3945607008730694E-01	  +1.0000000000000000E+00	
  +4.0320000000000000E+03	  +2.1285579869694568E+04	  +3.1796748979829565E+04	  +2.5139808106129305E+04	  +0.0000000000000000E+00	  +2.9876328645198486E-01	  +1.0000000000000000E+00	
  +4.0560000000000000E+03	  +1.5935160266174298E+04	  +2.0725166730632780E+04	  +2.5139461786360553E+04	  +0.0000000000000000E+00	  +2.6011871087818494E-01	  +1.0000000000000000E+00	
  +4.0800000000000000E+03	  +2.6489913715444221E+04	  +5.5715725591107679E+04	  +2.5139743284646087E+04	  +0.0000000000000000E+00	  +4.2065615002893336E-01	  +1.0000000000000000E+00	
  +4.1040000000000000E+03	  +1.7593164093060626E+04	  +2.3302403091489257E+04	  +2.5139540668622991E+04	  +0.0000000000000000E+00	  +2.6490292443092323E-01	  +1.0000000000000000E+00	
  +4.1280000000000000E+03	  +2.2112904482113056E+04	  +4.4066402243261808E+04	  +2.5139789491682895E+04	  +0.0000000000000000E+00	  +3.9855824709511317E-01	  +1.0000000000000000E+00	
  +4.1520000000000000E+03	  +2.6099137582811625E+04	  +4.7457616554506239E+04	  +2.5139873095008210E+04	  +0.0000000000000000E+00	  +3.6367191370643004E-01	  +1.0000000000000000E+00	
  +4.1760000000000000E+03	  +2.2305057014685262E+04	  +3.6807544633502330E+04	  +2.5139900901726982E+04	  +0.0000000000000000E+00	  +3.3003766463308160E-01	  +1.0000000000000000E+00	
  +4.2000000000000000E+03	  +1.1250608305550220E+04	  +8.9333947384836338E+03	  +2.5139761678479808E+04	  +0.0000000000000000E+00	  +1.5880731949254243E-01	  +1.0000000000000000E+00	
  +4.2240000000000000E+03	  +1.1127736020614215E+04	  +1.1222874964979288E+04	  +2.5138329570732702E+04	  +0.0000000000000000E+00	  +2.0170994250739085E-01	  +1.0000000000000000E+00	
  +4.2480000000000000E+03	  +1.1158339063546215E+04	  +1.4256003144076371E+04	  +2.5177229451554067E+04	  +5.7438419052483723E+03	  +2.5552195649609827E-01	  +7.7186362319680502E-01	
  +4.2720000000000000E+03	  +1.0780481785415797E+04	  +1.4661954541695128E+04	  +2.5139969041892829E+04	  +1.0384268236280461E+04	  +2.7200926328280262E-01	  +5.8694188451213969E-01	
  +4.2960000000000000E+03	  +1.9115251287460313E+04	  +4.1116938839560025E+04	  +2.5139229576592996E+04	  +6.0525750583130466E+03	  +4.3020034862008555E-01	  +7.5923784618651147E-01	
  +4.3200000000000000E+03	  +1.2710343655513470E+04	  +2.0671715129180127E+04	  +2.5139519033130320E+04	  +2.1992018484180271E+03	  +3.2527389800177298E-01	  +9.1252013034011070E-01	
  +4.3440000000000000E+03	  +1.3787880358421000E+04	  +2.5749270326896854E+04	  +2.5138350084240592E+04	  +5.4441821195670982E+03	  +3.7350585669677483E-01	  +7.8343120765258478E-01	
  +4.3680000000000000E+03	  +2.4262397940795676E+04	  +5.8244871333996329E+04	  +2.5138919566174711E+04	  +2.5294082475760838E+03	  +4.8012460660849327E-01	  +8.9938277813343759E-01	
  +4.3920000000000000E+03	  +2.2095600387179875E+04	  +4.5522046901500871E+04	  +2.5139818844051082E+04	  +0.0000000000000000E+00	  +4.1204625448875559E-01	  +1.0000000000000000E+00	
  +4.4160000000000000E+03	  +2.3054175442067055E+04	  +4.2061473408196740E+04	  +2.5139984018219558E+04	  +0.0000000000000000E+00	  +3.6489245528237019E-01	  +1.0000000000000000E+00	
  +4.4400000000000000E+03	  +2.6038796878141497E+04	  +4.4118753020165961E+04	  +2.5139893866218361E+04	  +0.0000000000000000E+00	  +3.3886936655558753E-01	  +1.0000000000000000E+00	
  +4.4640000000000000E+03	  +2.4857004616977712E+04	  +3.7347350409321567E+04	  +2.5139907353614846E+04	  +0.0000000000000000E+00	  +3.0049759401430265E-01	  +1.0000000000000000E+00	
  +4.4880000000000000E+03	  +2.2662784097042069E+04	  +3.4570282323939988E+04	  +2.5139908224800423E+04	  +0.0000000000000000E+00	  +3.0508416067156546E-01	  +1.0000000000000000E+00	
  +4.5120000000000000E+03	  +2.6500928910966606E+04	  +4.2624598212660043E+04	  +2.5140323563876613E+04	  +0.0000000000000000E+00	  +3.2168380478692926E-01	  +1.0000000000000000E+00	
  +4.5360000000000000E+03	  +2.4563618472037761E+04	  +3.8464476879495283E+04	  +2.5140270811541908E+04	  +0.0000000000000000E+00	  +3.1318249730159686E-01	  +1.0000000000000000E+00	
  +4.5600000000000000E+03	  +1.1898942572350226E+04	  +1.2743199911137142E+04	  +2.5139753490340721E+04	  +0.0000000000000000E+00	  +2.1419045992430522E-01	  +1.0000000000000000E+00	
  +4.5840000000000000E+03	  +2.4071902003833169E+04	  +4.7192514005247438E+04	  +2.5139314860422943E+04	  +0.0000000000000000E+00	  +3.9209626225082245E-01	  +1.0000000000000000E+00	
  +4.6080000000000000E+03	  +2.5383696615434015E+04	  +4.4471815884835269E+04	  +2.5140640022578045E+04	  +0.0000000000000000E+00	  +3.5039668617410702E-01	  +1.0000000000000000E+00	
  +4.6320000000000000E+03	  +2.5444300570776610E+04	  +4.0703958440904884E+04	  +2.5139903939730761E+04	  +0.0000000000000000E+00	  +3.1994558724348993E-01	  +1.0000000000000000E+00	
  +4.6560000000000000E+03	  +2.2018986239725316E+04	  +3.3864360566679214E+04	  +2.5139743551800828E+04	  +0.0000000000000000E+00	  +3.0759236776555682E-01	  +1.0000000000000000E+00	
  +4.6800000000000000E+03	  +1.6377229534100683E+04	  +2.1032219225498633E+04	  +2.5139833081496559E+04	  +0.0000000000000000E+00	  +2.5684709591995986E-01	  +1.0000000000000000E+00	
  +4.7040000000000000E+03	  +2.0236039593967285E+04	  +3.0155455773465979E+04	  +2.5140404520148637E+04	  +0.0000000000000000E+00	  +2.9803712957902895E-01	  +1.0000000000000000E+00	
  +4.7280000000000000E+03	  +2.3725275072555894E+04	  +4.3717669130040755E+04	  +2.5139808563436884E+04	  +0.0000000000000000E+00	  +3.6853245322531530E-01	  +1.0000000000000000E+00	
  +4.7520000000000000E+03	  +2.3730953464388644E+04	  +4.2332098948229606E+04	  +2.5140592645092871E+04	  +0.0000000000000000E+00	  +3.5676694584899521E-01	  +1.0000000000000000E+00	
  +4.7760000000000000E+03	  +2.5032106942683553E+04	  +4.3241340246410728E+04	  +2.5140612567662716E+04	  +0.0000000000000000E+00	  +3.4548702068967418E-01	  +1.0000000000000000E+00	
  +4.8000000000000000E+03	  +2.1700322916462028E+04	  +3.4831590000464312E+04	  +2.5139771625435478E+04	  +0.0000000000000000E+00	  +3.2102370212859627E-01	  +1.0000000000000000E+00	
