 TIME                    	IColl                    	QuColl                   	QDHW                     	QAux                     	EtaColl_d                	FSol_d                   	
  +3.6240000000000000E+03	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.0000000000000000E+00	
  +3.6480000000000000E+03	  +1.1483235651943620E+04	  +2.2893455121350096E+04	  +2.5136857533276529E+04	  +1.0043932249790056E+04	  +3.9872829949416716E-01	  +6.0043007619014488E-01	
  +3.6720000000000000E+03	  +2.5078162471474752E+04	  +5.8322985976153468E+04	  +2.5217518106259482E+04	  +5.2765652912084879E+03	  +4.6512966045281851E-01	  +7.9075794577542113E-01	
  +3.6960000000000000E+03	  +2.3246964679278164E+04	  +4.1294894944604435E+04	  +2.5139792771216806E+04	  +0.0000000000000000E+00	  +3.5527128391999091E-01	  +1.0000000000000000E+00	
  +3.7200000000000000E+03	  +2.0289364652144053E+04	  +2.8318568680843800E+04	  +2.5139721986715565E+04	  +0.0000000000000000E+00	  +2.7914692417509612E-01	  +1.0000000000000000E+00	
  +3.7440000000000000E+03	  +1.9154778400145740E+04	  +2.7624897487339185E+04	  +2.5139810196238555E+04	  +0.0000000000000000E+00	  +2.8843870610208222E-01	  +1.0000000000000000E+00	
  +3.7680000000000000E+03	  +1.8734264430336400E+04	  +2.9920674226078154E+04	  +2.5139588772832973E+04	  +0.0000000000000000E+00	  +3.1942192699392224E-01	  +1.0000000000000000E+00	
  +3.7920000000000000E+03	  +1.5311882903007316E+04	  +2.0784935983233336E+04	  +2.5139224894787832E+04	  +0.0000000000000000E+00	  +2.7148765588952622E-01	  +1.0000000000000000E+00	
  +3.8160000000000000E+03	  +9.0367550505317049E+03	  +1.0523843654610326E+04	  +2.5138960629076839E+04	  +4.6061484007624440E+03	  +2.3291200426547384E-01	  +8.1677252021105673E-01	
  +3.8400000000000000E+03	  +2.3521463682935082E+04	  +5.0526082434590055E+04	  +2.5139096657960319E+04	  +4.4495675624826099E+03	  +4.2961682244984883E-01	  +8.2300209021644966E-01	
  +3.8640000000000000E+03	  +2.4203209450514045E+04	  +4.6499711196046926E+04	  +2.5139733758106493E+04	  +0.0000000000000000E+00	  +3.8424417464746680E-01	  +1.0000000000000000E+00	
  +3.8880000000000000E+03	  +1.2705898049281088E+04	  +1.4647469602443878E+04	  +2.5139339475411511E+04	  +0.0000000000000000E+00	  +2.3056173668955393E-01	  +1.0000000000000000E+00	
  +3.9120000000000000E+03	  +1.8376009416705652E+04	  +3.1604247405081089E+04	  +2.5139530403777073E+04	  +0.0000000000000000E+00	  +3.4397291259554602E-01	  +1.0000000000000000E+00	
  +3.9360000000000000E+03	  +2.5059414877545511E+04	  +5.4590015390878150E+04	  +2.5139697435860369E+04	  +0.0000000000000000E+00	  +4.3568467705411473E-01	  +1.0000000000000000E+00	
  +3.9600000000000000E+03	  +2.3523277435628650E+04	  +3.9542305900358915E+04	  +2.5140288532637256E+04	  +0.0000000000000000E+00	  +3.3619724979420978E-01	  +1.0000000000000000E+00	
  +3.9840000000000000E+03	  +1.1894100293256566E+04	  +1.0282028094452051E+04	  +2.5139635729832335E+04	  +0.0000000000000000E+00	  +1.7289291061567080E-01	  +1.0000000000000000E+00	
  +4.0080000000000000E+03	  +1.4242524063054248E+04	  +2.6988345050745600E+04	  +2.5139307854144343E+04	  +0.0000000000000000E+00	  +3.7898261475120987E-01	  +1.0000000000000000E+00	
  +4.0320000000000000E+03	  +1.3410867076923179E+04	  +2.1918497161083018E+04	  +2.5139469935666650E+04	  +0.0000000000000000E+00	  +3.2687665957814932E-01	  +1.0000000000000000E+00	
  +4.0560000000000000E+03	  +1.1508849508996922E+04	  +2.1312795305182004E+04	  +2.5139432982879334E+04	  +4.4999834365736133E+03	  +3.7037229982285508E-01	  +8.2099900823303262E-01	
  +4.0800000000000000E+03	  +2.4564222342064753E+04	  +5.9756905299368795E+04	  +2.5139078378710030E+04	  +3.5237336559112873E+03	  +4.8653610496394306E-01	  +8.5983043599739428E-01	
  +4.1040000000000000E+03	  +2.0064307035652917E+04	  +3.6589799621578022E+04	  +2.5139502315722439E+04	  +0.0000000000000000E+00	  +3.6472527614530320E-01	  +1.0000000000000000E+00	
  +4.1280000000000000E+03	  +7.2046643740335658E+03	  +5.1089869823698928E+03	  +2.5139141208791163E+04	  +0.0000000000000000E+00	  +1.4182442698209349E-01	  +1.0000000000000000E+00	
  +4.1520000000000000E+03	  +6.3756049499298224E+03	  +8.5985578465401795E+03	  +2.5138007327480136E+04	  +4.6769137939230286E+03	  +2.6973308145025804E-01	  +8.1395049604332348E-01	
  +4.1760000000000000E+03	  +9.3286317976625287E+03	  +1.9254951963079180E+04	  +2.5138592307149658E+04	  +1.2222508868468161E+04	  +4.1281406277587396E-01	  +5.1379501609937972E-01	
  +4.2000000000000000E+03	  +1.9819755236903275E+04	  +4.4670489917705469E+04	  +2.5217634552769152E+04	  +5.8976070803818739E+03	  +4.5076732162747146E-01	  +7.6613163031580256E-01	
  +4.2240000000000000E+03	  +2.2849742750300753E+04	  +4.9135059949854352E+04	  +2.5139679240463778E+04	  +0.0000000000000000E+00	  +4.3007101205791526E-01	  +1.0000000000000000E+00	
  +4.2480000000000000E+03	  +8.4190970452209331E+03	  +8.1171246654242086E+03	  +2.5139128848814504E+04	  +0.0000000000000000E+00	  +1.9282649010059899E-01	  +1.0000000000000000E+00	
  +4.2720000000000000E+03	  +7.1153586457610818E+03	  +1.0898732278896019E+04	  +2.5137934853157130E+04	  +5.6638304154071320E+03	  +3.0634386321714108E-01	  +7.7468990797108028E-01	
  +4.2960000000000000E+03	  +2.1781375631912786E+04	  +4.8787711196916469E+04	  +2.5217667322607209E+04	  +4.9768017144060223E+03	  +4.4797639984673532E-01	  +8.0264623009967895E-01	
  +4.3200000000000000E+03	  +2.3224959360990342E+04	  +4.5380354582064683E+04	  +2.5139683613572168E+04	  +0.0000000000000000E+00	  +3.9078952842343162E-01	  +1.0000000000000000E+00	
  +4.3440000000000000E+03	  +1.8075218032833880E+04	  +2.4042043787258437E+04	  +2.5139545129162914E+04	  +0.0000000000000000E+00	  +2.6602217183017890E-01	  +1.0000000000000000E+00	
  +4.3680000000000000E+03	  +2.3129386526444425E+04	  +4.6214336540985547E+04	  +2.5139767353180396E+04	  +0.0000000000000000E+00	  +3.9961575710404501E-01	  +1.0000000000000000E+00	
  +4.3920000000000000E+03	  +2.1419127781355197E+04	  +3.5544277786486535E+04	  +2.5139931438327541E+04	  +0.0000000000000000E+00	  +3.3189285902757465E-01	  +1.0000000000000000E+00	
  +4.4160000000000000E+03	  +1.8872524191154236E+04	  +2.8382057743619349E+04	  +2.5139851777972111E+04	  +0.0000000000000000E+00	  +3.0077648814588948E-01	  +1.0000000000000000E+00	
  +4.4400000000000000E+03	  +1.6883016010703352E+04	  +2.3208872756726127E+04	  +2.5139596712952331E+04	  +0.0000000000000000E+00	  +2.7493751995185489E-01	  +1.0000000000000000E+00	
  +4.4640000000000000E+03	  +1.2221057090342651E+04	  +1.7085300186535849E+04	  +2.5139180880653930E+04	  +0.0000000000000000E+00	  +2.7960429380135088E-01	  +1.0000000000000000E+00	
  +4.4880000000000000E+03	  +1.4670776024983827E+04	  +2.9096722487844927E+04	  +2.5137667264142488E+04	  +2.2234263266850212E+03	  +3.9666235021102564E-01	  +9.1155001364155352E-01	
  +4.5120000000000000E+03	  +1.1599382544254680E+04	  +1.9087211432795906E+04	  +2.5138314318135326E+04	  +5.4424619182243287E+03	  +3.2910737032155102E-01	  +7.8349932898716612E-01	
  +4.5360000000000000E+03	  +2.5439527880742418E+04	  +6.0816336661121124E+04	  +2.5139020088665686E+04	  +2.6765825690567676E+03	  +4.7812472735927330E-01	  +8.9352876287500660E-01	
