 TIME                    	Twb                      	Tcw                      	Tchw                     	Twind                    	Td                       	Gcw                      	Gchw                     	Qfuhe                    	PUE                      	
 HOURS              	Unit1               	Unit2               	Unit3               	Unit4               	Unit5               	Unit6               	Unit7               	Unit8               	Unit9               	
 8016.00    16.87    18.00    18.00    18.00   -10.00     0.00     0.00    81.00     1.00
 8016.08    -5.14    14.24    15.28    18.52     5.37     1.00     1.00    81.07     1.29
 8016.17    -5.21    12.86    13.11    16.17    13.26     1.00     0.30    81.14     1.19
 8016.25    -5.27    11.68    12.35    21.08    11.40     1.00     0.30    81.22     1.24
 8016.33    -5.34    10.68    11.31    19.39    12.96     1.00     0.30    81.30     1.23
 8016.42    -5.40     9.83    11.15    20.17    11.82     0.40     0.30    81.38     1.21
 8016.50    -5.47     9.12    11.34    20.02    11.38     0.25     0.30    81.48     1.20
 8016.58    -5.54     8.51    11.34    19.95    11.21     0.21     0.30    81.58     1.20
 8016.67    -5.60     7.97    11.85    20.25    10.92     0.17     0.30    81.68     1.19
 8016.75    -5.67     7.47    11.45    20.00    11.15     0.17     0.30    81.79     1.19
 8016.83    -5.74     7.45    11.39    19.90    11.13     0.17     0.30    81.91     1.10
 8016.92    -5.80     7.88    11.74    20.13    10.95     0.17     0.30    82.04     1.10
 8017.00    -5.86     8.30    12.12    20.43    10.84     0.17     0.30    82.17     1.10
 8017.08    -5.91     8.71    12.51    20.78    10.78     0.17     0.30    82.31     1.10
 8017.17    -5.94     8.86    12.72    21.04    10.83     0.17     0.30    82.46     1.10
 8017.25    -5.98     8.76    12.66    21.09    10.98     0.17     0.30    82.62     1.10
 8017.33    -6.01     8.66    12.60    21.10    11.08     0.17     0.30    82.78     1.10
 8017.42    -6.04     8.56    12.53    21.10    11.15     0.17     0.30    82.96     1.10
 8017.50    -6.07     8.47    12.46    21.06    11.21     0.17     0.30    83.14     1.10
 8017.58    -6.10     8.38    12.39    21.02    11.25     0.17     0.30    83.34     1.10
 8017.67    -6.13     8.29    12.31    20.97    11.28     0.17     0.30    83.54     1.10
 8017.75    -6.17     8.21    12.24    20.92    11.32     0.17     0.30    83.76     1.10
 8017.83    -6.20     8.13    12.17    20.86    11.34     0.17     0.30    83.98     1.10
 8017.92    -6.23     8.05    12.10    20.81    11.37     0.17     0.30    84.22     1.10
 8018.00    -6.26     7.97    12.03    20.76    11.40     0.17     0.30    84.47     1.10
 8018.08    -6.29     7.89    11.96    20.72    11.43     0.17     0.30    84.73     1.10
 8018.17    -6.32     7.82    11.89    20.67    11.46     0.17     0.30    85.00     1.10
 8018.25    -6.35     7.74    11.83    20.63    11.49     0.17     0.30    85.28     1.10
 8018.33    -6.39     7.67    11.77    20.59    11.52     0.17     0.30    85.57     1.09
 8018.42    -6.43     7.60    11.71    20.56    11.54     0.17     0.30    85.87     1.09
 8018.50    -6.46     7.54    11.66    20.53    11.59     0.17     0.30    86.19     1.09
 8018.58    -6.50     7.47    11.61    20.52    11.62     0.17     0.30    86.52     1.09
 8018.67    -6.54     7.41    11.56    20.50    11.66     0.17     0.30    86.85     1.09
 8018.75    -6.57     7.35    11.51    20.48    11.71     0.17     0.30    87.20     1.09
 8018.83    -6.60     7.29    11.46    20.46    11.75     0.17     0.30    87.56     1.09
 8018.92    -6.63     7.49    11.62    20.54    11.70     0.17     0.30    87.93     1.09
 8019.00    -6.65     7.93    12.02    20.86    11.58     0.17     0.30    88.31     1.09
 8019.08    -6.66     8.38    12.45    21.25    11.52     0.17     0.30    88.70     1.09
 8019.17    -6.67     8.82    12.89    21.67    11.50     0.17     0.30    89.10     1.09
 8019.25    -6.66     8.75    12.91    21.86    11.69     0.17     0.30    89.50     1.18
 8019.33    -6.65     8.18    12.47    21.65    12.02     0.17     0.30    89.92     1.18
 8019.42    -6.64     7.64    12.01    21.35    12.24     0.17     0.30    90.34     1.18
 8019.50    -6.63     7.30    11.69    21.09    12.33     0.17     0.30    90.76     1.09
 8019.58    -6.62     7.45    11.78    21.07    12.23     0.17     0.30    91.19     1.09
 8019.67    -6.60     7.92    12.18    21.36    12.05     0.17     0.30    91.63     1.09
 8019.75    -6.59     8.38    12.61    21.73    11.97     0.17     0.30    92.07     1.09
 8019.83    -6.58     8.84    13.07    22.15    11.93     0.17     0.30    92.50     1.09
 8019.92    -6.57     8.74    11.53    21.28    12.79     0.23     0.30    92.94     1.17
 8020.00    -6.56     8.11    10.92    20.74    12.91     0.23     0.30    93.38     1.17
 8020.08    -6.58     7.53    11.71    21.16    12.40     0.17     0.30    93.82     1.17
 8020.17    -6.62     7.51    11.68    21.17    12.48     0.17     0.30    94.25     1.08
 8020.25    -6.66     7.99    12.11    21.51    12.36     0.17     0.30    94.68     1.08
 8020.33    -6.70     8.47    12.57    21.92    12.29     0.17     0.30    95.10     1.08
 8020.42    -6.73     8.78    12.90    22.27    12.32     0.17     0.30    95.51     1.08
 8020.50    -6.77     8.80    12.98    22.47    12.47     0.17     0.30    95.92     1.08
 8020.58    -6.81     8.71    12.95    22.56    12.63     0.17     0.30    96.31     1.08
 8020.67    -6.85     8.62    12.91    22.62    12.75     0.17     0.30    96.69     1.08
 8020.75    -6.89     8.54    12.85    22.62    12.84     0.17     0.30    97.06     1.08
 8020.83    -6.93     8.46    12.80    22.62    12.91     0.17     0.30    97.41     1.08
 8020.92    -6.96     8.39    12.74    22.62    12.97     0.17     0.30    97.74     1.08
 8021.00    -7.00     8.31    12.69    22.61    13.03     0.17     0.30    98.05     1.08
 8021.08    -7.02     8.24    12.63    22.59    13.07     0.17     0.30    98.35     1.08
 8021.17    -7.04     8.17    12.58    22.57    13.12     0.17     0.30    98.63     1.08
 8021.25    -7.06     8.11    12.53    22.53    13.15     0.17     0.30    98.88     1.08
 8021.33    -7.07     8.04    12.47    22.50    13.19     0.17     0.30    99.11     1.08
 8021.42    -7.09     7.98    12.42    22.46    13.21     0.17     0.30    99.31     1.08
 8021.50    -7.10     7.92    12.37    22.43    13.24     0.17     0.30    99.49     1.08
 8021.58    -7.12     7.86    12.32    22.39    13.26     0.17     0.30    99.65     1.08
 8021.67    -7.13     7.80    12.27    22.36    13.29     0.17     0.30    99.77     1.08
 8021.75    -7.15     7.75    12.22    22.32    13.30     0.17     0.30    99.87     1.08
 8021.83    -7.16     7.70    12.18    22.29    13.31     0.17     0.30    99.94     1.08
 8021.92    -7.17     7.64    12.12    22.25    13.33     0.17     0.30    99.99     1.08
 8022.00    -7.19     7.59    12.08    22.21    13.34     0.17     0.30   100.00     1.08
 8022.08    -7.18     7.54    12.03    22.16    13.34     0.17     0.30    99.99     1.08
 8022.17    -7.17     7.50    11.99    22.11    13.33     0.17     0.30    99.94     1.08
 8022.25    -7.15     7.45    11.94    22.07    13.34     0.17     0.30    99.87     1.08
 8022.33    -7.13     7.41    11.90    22.02    13.32     0.17     0.30    99.77     1.08
 8022.42    -7.10     7.37    11.85    21.97    13.33     0.17     0.30    99.65     1.08
 8022.50    -7.08     7.33    11.81    21.91    13.31     0.17     0.30    99.50     1.08
 8022.58    -7.06     7.29    11.76    21.86    13.29     0.17     0.30    99.32     1.08
 8022.67    -7.03     7.52    11.93    21.91    13.18     0.17     0.30    99.11     1.08
 8022.75    -7.01     8.03    12.36    22.21    12.98     0.17     0.30    98.88     1.08
 8022.83    -6.99     8.53    12.81    22.57    12.85     0.17     0.30    98.63     1.08
 8022.92    -6.96     8.85    13.14    22.86    12.82     0.17     0.30    98.36     1.08
 8023.00    -6.94     8.88    13.20    23.00    12.89     0.17     0.30    98.06     1.08
 8023.08    -6.93     8.79    13.15    23.01    12.97     0.17     0.30    97.75     1.08
 8023.17    -6.93     8.70    13.08    22.97    13.01     0.17     0.30    97.42     1.08
 8023.25    -6.94     8.62    13.00    22.91    13.02     0.17     0.30    97.07     1.08
 8023.33    -6.96     8.54    12.92    22.82    13.01     0.17     0.30    96.70     1.08
 8023.42    -6.97     8.46    12.83    22.70    12.98     0.17     0.30    96.32     1.08
 8023.50    -6.97     8.38    12.74    22.58    12.94     0.17     0.30    95.93     1.08
 8023.58    -6.96     8.30    12.65    22.46    12.90     0.17     0.30    95.52     1.09
 8023.67    -6.94     8.23    12.56    22.34    12.85     0.17     0.30    95.11     1.09
 8023.75    -6.89     8.16    12.47    22.21    12.80     0.17     0.30    94.69     1.09
 8023.83    -6.82     8.09    12.39    22.09    12.75     0.17     0.30    94.26     1.09
 8023.92    -6.73     8.02    12.30    21.96    12.70     0.17     0.30    93.83     1.09
 8024.00    -6.60     7.96    12.22    21.84    12.64     0.17     0.30    93.39     1.09
 8024.08    -6.46     7.90    12.14    21.72    12.59     0.17     0.30    92.96     1.09
 8024.17    -6.34     7.84    12.06    21.61    12.53     0.17     0.30    92.52     1.09
 8024.25    -6.21     7.79    11.99    21.52    12.48     0.17     0.30    92.08     1.09
 8024.33    -6.06     7.74    11.92    21.41    12.43     0.17     0.30    91.64     1.09
 8024.42    -5.90     7.70    11.86    21.31    12.38     0.17     0.30    91.21     1.09
 8024.50    -5.73     7.65    11.80    21.20    12.32     0.17     0.30    90.77     1.09
 8024.58    -5.56     7.61    11.74    21.10    12.26     0.17     0.30    90.35     1.09
 8024.67    -5.38     7.58    11.68    21.01    12.21     0.17     0.30    89.93     1.09
 8024.75    -5.20     7.55    11.63    20.92    12.15     0.17     0.30    89.52     1.09
 8024.83    -5.03     7.52    11.58    20.83    12.10     0.17     0.30    89.11     1.09
 8024.92    -4.85     7.49    11.54    20.73    12.04     0.17     0.30    88.71     1.09
 8025.00    -4.68     7.47    11.51    20.65    11.98     0.17     0.30    88.32     1.09
 8025.08    -4.52     7.45    11.46    20.58    11.93     0.17     0.30    87.94     1.09
 8025.17    -4.36     7.44    11.43    20.50    11.88     0.17     0.30    87.57     1.09
 8025.25    -4.19     7.43    11.40    20.44    11.83     0.17     0.30    87.21     1.09
 8025.33    -4.03     7.42    11.38    20.37    11.78     0.17     0.30    86.86     1.09
 8025.42    -3.87     7.41    11.35    20.32    11.74     0.17     0.30    86.53     1.09
 8025.50    -3.71     7.41    11.33    20.28    11.70     0.17     0.30    86.20     1.09
 8025.58    -3.56     7.40    11.32    20.23    11.65     0.17     0.30    85.88     1.09
 8025.67    -3.41     7.40    11.30    20.19    11.61     0.17     0.30    85.58     1.10
 8025.75    -3.26     7.41    11.29    20.14    11.57     0.17     0.30    85.29     1.10
 8025.83    -2.88     7.41    11.28    20.10    11.52     0.17     0.30    85.00     1.10
 8025.92    -2.74     7.43    11.28    20.06    11.48     0.17     0.30    84.73     1.10
 8026.00    -2.60     7.44    11.28    20.03    11.44     0.17     0.30    84.48     1.10
 8026.08    -2.46     7.45    11.28    20.01    11.40     0.17     0.30    84.23     1.10
 8026.17    -2.31     7.47    11.28    19.98    11.37     0.17     0.30    83.99     1.10
 8026.25    -2.18     7.49    11.29    19.96    11.33     0.17     0.30    83.77     1.10
 8026.33    -2.04     7.51    11.30    19.96    11.31     0.17     0.30    83.55     1.10
 8026.42    -1.92     7.53    11.31    19.95    11.28     0.17     0.30    83.34     1.10
 8026.50    -1.79     7.56    11.32    19.94    11.25     0.17     0.30    83.15     1.10
 8026.58    -1.67     7.58    11.34    19.93    11.22     0.17     0.30    82.96     1.10
 8026.67    -1.56     7.61    11.36    19.93    11.19     0.17     0.30    82.79     1.10
 8026.75    -1.44     7.64    11.37    19.93    11.17     0.17     0.30    82.62     1.10
 8026.83    -1.34     7.67    11.39    19.93    11.14     0.17     0.30    82.46     1.10
 8026.92    -1.24     7.70    11.41    19.93    11.12     0.17     0.30    82.31     1.10
 8027.00    -1.14     7.73    11.44    19.93    11.10     0.17     0.30    82.17     1.10
 8027.08    -1.03     7.76    11.46    19.94    11.08     0.17     0.30    82.04     1.10
 8027.17    -0.91     7.79    11.49    19.95    11.05     0.17     0.30    81.91     1.10
 8027.25    -0.79     7.83    11.51    19.96    11.03     0.17     0.30    81.80     1.10
 8027.33    -0.69     7.86    11.54    19.97    11.02     0.17     0.30    81.68     1.10
 8027.42    -0.59     7.90    11.57    19.98    11.00     0.17     0.30    81.58     1.10
 8027.50    -0.50     7.93    11.60    20.00    10.98     0.17     0.30    81.48     1.10
 8027.58    -0.41     7.97    11.64    20.04    10.96     0.17     0.30    81.39     1.10
 8027.67    -0.33     8.01    11.66    20.06    10.96     0.17     0.30    81.30     1.10
 8027.75    -0.25     8.05    11.71    20.09    10.95     0.17     0.30    81.22     1.10
 8027.83    -0.18     8.09    11.73    20.12    10.94     0.17     0.30    81.14     1.10
 8027.92    -0.11     8.13    11.78    20.14    10.93     0.17     0.30    81.07     1.10
 8028.00    -0.04     8.17    11.81    20.17    10.92     0.17     0.30    81.00     1.10
 8028.08     0.03     8.20    11.85    20.20    10.91     0.17     0.30    80.94     1.10
 8028.17     0.09     8.24    11.87    20.23    10.90     0.17     0.30    80.88     1.10
 8028.25     0.16     8.27    11.90    20.26    10.90     0.17     0.30    80.82     1.10
 8028.33     0.22     8.30    11.93    20.28    10.89     0.17     0.30    80.77     1.10
 8028.42     0.27     8.34    11.96    20.31    10.88     0.17     0.30    80.72     1.10
 8028.50     0.32     8.37    12.00    20.34    10.88     0.17     0.30    80.68     1.10
 8028.58     0.36     8.40    12.03    20.36    10.87     0.17     0.30    80.63     1.10
 8028.67     0.40     8.44    12.06    20.39    10.87     0.17     0.30    80.59     1.10
 8028.75     0.44     8.47    12.09    20.42    10.86     0.17     0.30    80.56     1.10
 8028.83     0.47     8.50    12.12    20.44    10.86     0.17     0.30    80.52     1.10
 8028.92     0.49     8.54    12.15    20.47    10.85     0.17     0.30    80.49     1.10
 8029.00     0.51     8.57    12.18    20.50    10.85     0.17     0.30    80.46     1.10
 8029.08     0.54     8.60    12.21    20.53    10.84     0.17     0.30    80.43     1.10
 8029.17     0.58     8.63    12.24    20.55    10.84     0.17     0.30    80.41     1.10
 8029.25     0.61     8.66    12.27    20.58    10.84     0.17     0.30    80.38     1.10
 8029.33     0.64     8.69    12.30    20.61    10.83     0.17     0.30    80.36     1.10
 8029.42     0.67     8.72    12.33    20.64    10.83     0.17     0.30    80.34     1.10
 8029.50     0.69     8.75    12.36    20.66    10.83     0.17     0.30    80.32     1.10
 8029.58     0.70     8.78    12.39    20.69    10.82     0.17     0.30    80.30     1.10
 8029.67     0.71     8.81    12.42    20.72    10.82     0.17     0.30    80.28     1.10
 8029.75     0.72     8.84    12.44    20.74    10.82     0.17     0.30    80.27     1.10
 8029.83     0.72     8.86    12.47    20.77    10.82     0.17     0.30    80.25     1.10
 8029.92     0.72     8.83    12.47    20.79    10.83     0.17     0.30    80.24     1.11
 8030.00     0.72     8.75    12.40    20.75    10.87     0.17     0.30    80.22     1.11
 8030.08     0.72     8.66    12.33    20.70    10.89     0.17     0.30    80.21     1.11
 8030.17     0.72     8.58    12.25    20.64    10.91     0.17     0.30    80.20     1.11
 8030.25     0.71     8.51    12.18    20.57    10.92     0.17     0.30    80.19     1.11
 8030.33     0.70     8.43    12.11    20.50    10.92     0.17     0.30    80.18     1.11
 8030.42     0.69     8.36    12.03    20.43    10.92     0.17     0.30    80.17     1.11
 8030.50     0.68     8.29    11.96    20.36    10.92     0.17     0.30    80.16     1.11
 8030.58     0.66     8.22    11.89    20.29    10.92     0.17     0.30    80.15     1.11
 8030.67     0.64     8.16    11.83    20.22    10.92     0.17     0.30    80.15     1.11
 8030.75     0.62     8.09    11.76    20.15    10.92     0.17     0.30    80.14     1.11
 8030.83     0.59     8.03    11.70    20.09    10.91     0.17     0.30    80.13     1.11
 8030.92     0.56     7.97    11.64    20.02    10.91     0.17     0.30    80.13     1.11
 8031.00     0.52     7.91    11.58    19.96    10.91     0.17     0.30    80.12     1.11
 8031.08     0.49     7.85    11.52    19.90    10.91     0.17     0.30    80.11     1.11
 8031.17     0.47     7.79    11.46    19.84    10.91     0.17     0.30    80.11     1.11
 8031.25     0.45     7.74    11.40    19.78    10.91     0.17     0.30    80.11     1.11
 8031.33     0.41     7.68    11.35    19.73    10.90     0.17     0.30    80.10     1.11
 8031.42     0.38     7.63    11.29    19.67    10.90     0.17     0.30    80.10     1.11
 8031.50     0.33     7.58    11.24    19.62    10.90     0.17     0.30    80.09     1.11
 8031.58     0.29     7.52    11.19    19.56    10.90     0.17     0.30    80.09     1.11
 8031.67     0.24     7.47    11.13    19.51    10.90     0.17     0.30    80.09     1.11
 8031.75     0.18     7.42    11.08    19.46    10.90     0.17     0.30    80.08     1.11
 8031.83     0.13     7.37    11.03    19.40    10.90     0.17     0.30    80.08     1.11
 8031.92     0.06     7.32    10.98    19.35    10.90     0.17     0.30    80.08     1.11
 8032.00    -0.00     7.33    10.96    19.30    10.88     0.17     0.30    80.07     1.10
 8032.08    -0.07     7.39    11.01    19.30    10.83     0.17     0.30    80.07     1.10
 8032.17    -0.14     7.45    11.06    19.34    10.81     0.17     0.30    80.07     1.10
 8032.25    -0.24     7.50    11.11    19.38    10.79     0.17     0.30    80.07     1.10
 8032.33    -0.34     7.55    11.16    19.42    10.78     0.17     0.30    80.07     1.10
 8032.42    -0.45     7.60    11.21    19.46    10.78     0.17     0.30    80.06     1.10
 8032.50    -0.57     7.65    11.25    19.51    10.77     0.17     0.30    80.06     1.10
 8032.58    -0.69     7.69    11.28    19.55    10.79     0.17     0.30    80.06     1.10
 8032.67    -0.80     7.72    11.32    19.58    10.79     0.17     0.30    80.06     1.10
 8032.75    -0.91     7.75    11.35    19.60    10.78     0.17     0.30    80.06     1.10
 8032.83    -1.00     7.78    11.38    19.65    10.78     0.17     0.30    80.06     1.10
 8032.92    -1.08     7.81    11.41    19.68    10.79     0.17     0.30    80.06     1.10
 8033.00    -1.14     7.83    11.44    19.71    10.79     0.17     0.30    80.06     1.10
 8033.08    -1.16     7.86    11.46    19.74    10.80     0.17     0.30    80.05     1.10
 8033.17    -1.17     7.88    11.48    19.76    10.80     0.17     0.30    80.05     1.10
 8033.25    -1.18     7.90    11.50    19.79    10.80     0.17     0.30    80.05     1.10
 8033.33    -1.19     7.92    11.52    19.81    10.80     0.17     0.30    80.05     1.10
