 TIME                    	source                   	source                   	source                   	source                   	source                   	source                   	source                   	source                   	source                   	
 HOURS              	Unit1               	Unit2               	Unit3               	Unit4               	Unit5               	Unit6               	Unit7               	Unit8               	Unit9               	
  +0.0000000000000000E+00	  +2.1213136763759398E+03	  +3.5004543623620009E+01	  +2.6491223734904730E+02	  +6.8599831726789830E+01	  +8.5156375482739790E+00	  +6.2122499029690982E+02	  +4.1048469141708688E+02	  +3.8003024818942077E-02	  +1.2452344167540299E+02	
  +1.3888888888888889E-04	  +2.2879230043661846E+03	  +3.5005375504256079E+01	  +2.6918962561049278E+02	  +8.1122532572806961E+01	  +8.9816962206934861E+00	  +6.2917115643831858E+02	  +4.1058571508946227E+02	  +3.7533909774624355E-02	  +1.1774867302951262E+02	
  +2.7777777777777778E-04	  +2.5692604794752447E+03	  +3.5006689171369075E+01	  +2.7594408680644705E+02	  +1.0089723888327060E+02	  +9.5685872466875139E+00	  +6.3831328533335238E+02	  +4.1070077157626588E+02	  +3.7008051672673931E-02	  +1.1109670316245843E+02	
  +4.1666666666666669E-04	  +2.7877950279346651E+03	  +3.5007642344094620E+01	  +2.8084498720092319E+02	  +1.1524536571621563E+02	  +9.8869157445598574E+00	  +6.4392118483017020E+02	  +4.1077074125892193E+02	  +3.6692571168756419E-02	  +1.0631973459869330E+02	
  +5.5555555555555556E-04	  +2.9538972936482055E+03	  +3.5008332946474710E+01	  +2.8439580013663760E+02	  +1.2564090739159218E+02	  +1.0069185919315281E+01	  +6.4754653433543342E+02	  +4.1081573305338156E+02	  +3.6491410737324273E-02	  +1.0282282924349383E+02	
  +6.9444444444444447E-04	  +3.0779547515880354E+03	  +3.5008831566716609E+01	  +2.8695946822957688E+02	  +1.3314643328855936E+02	  +1.0179476221233234E+01	  +6.4997623153835468E+02	  +4.1084578134250478E+02	  +3.6357797959107395E-02	  +1.0027039611572047E+02	
  +8.3333333333333339E-04	  +3.1692617854354276E+03	  +3.5009189852910708E+01	  +2.8880156628396901E+02	  +1.3853945380272580E+02	  +1.0249566364514909E+01	  +6.5164491902512100E+02	  +4.1086636966159477E+02	  +3.6266587618324138E-02	  +9.8417641472581877E+01	
  +9.7222222222222219E-04	  +3.2356580944154935E+03	  +3.5009445998355602E+01	  +2.9011848919315037E+02	  +1.4239494468187382E+02	  +1.0295856318026345E+01	  +6.5280787082283291E+02	  +4.1088069496001219E+02	  +3.6203285106567028E-02	  +9.7081491750996832E+01	
  +1.1111111111111111E-03	  +3.2834782514548297E+03	  +3.5009628274864639E+01	  +2.9105561234521826E+02	  +1.4513851435668576E+02	  +1.0327266133629262E+01	  +6.5362466263333238E+02	  +4.1089074486966524E+02	  +3.6158954091492390E-02	  +9.6123919928838191E+01	
  +1.2500000000000000E-03	  +3.3176656554858096E+03	  +3.5009757485344636E+01	  +2.9171990196689495E+02	  +1.4708332262885233E+02	  +1.0348951172083396E+01	  +6.5420031191643272E+02	  +4.1089782210692715E+02	  +3.6127774732248208E-02	  +9.5441357395059683E+01	
  +1.3888888888888889E-03	  +3.3419717985673733E+03	  +3.5009848801561290E+01	  +2.9218936656900723E+02	  +1.4845775120740583E+02	  +1.0364075184679976E+01	  +6.5460642863632279E+02	  +4.1090281225745076E+02	  +3.6105809529226603E-02	  +9.4956933673692575E+01	
  +1.5277777777777779E-03	  +3.3591826390357637E+03	  +3.5009913189422306E+01	  +2.9252038744471110E+02	  +1.4942686485126865E+02	  +1.0374680770852933E+01	  +6.5489288306095557E+02	  +4.1090633067192772E+02	  +3.6090332080382988E-02	  +9.4614281506159315E+01	
  +1.6666666666666668E-03	  +3.3713336946545414E+03	  +3.5009958513533945E+01	  +2.9275339934346249E+02	  +1.5010904240161364E+02	  +1.0382136840716068E+01	  +6.5509478366539986E+02	  +4.1090880985354642E+02	  +3.6079430963688999E-02	  +9.4372516960249612E+01	
  +1.8055555555555555E-03	  +3.3798945174571268E+03	  +3.5009990379488869E+01	  +2.9291722196867750E+02	  +1.5058865789636690E+02	  +1.0387383446151130E+01	  +6.5523695939049344E+02	  +4.1091055531851055E+02	  +3.6071758406290455E-02	  +9.4202249200048968E+01	
  +1.9444444444444444E-03	  +3.3859169416317563E+03	  +3.5010012764029824E+01	  +2.9303230036997792E+02	  +1.5092556730849859E+02	  +1.0391075455635715E+01	  +6.5533698900556135E+02	  +4.1091178319429252E+02	  +3.6066362189417119E-02	  +9.4082494315333989E+01	
  +2.0833333333333333E-03	  +3.3901491950434042E+03	  +3.5010028478624804E+01	  +2.9311308856236292E+02	  +1.5116208695153244E+02	  +1.0393672536892822E+01	  +6.5540731115590654E+02	  +4.1091264632365761E+02	  +3.6062569522378955E-02	  +9.3998347352800849E+01	
  +2.2222222222222222E-03	  +3.3931212153816618E+03	  +3.5010039505967981E+01	  +2.9316977966946553E+02	  +1.5132805873548816E+02	  +1.0395498452961004E+01	  +6.5545671631902019E+02	  +4.1091325267802711E+02	  +3.6059905432581620E-02	  +9.3939260998515493E+01	
  +2.3611111111111111E-03	  +3.3952071819054022E+03	  +3.5010047241805211E+01	  +2.9320954924127676E+02	  +1.5144449016745759E+02	  +1.0396781497094739E+01	  +6.5549140793203219E+02	  +4.1091367843120145E+02	  +3.6058034976138229E-02	  +9.3897791822712719E+01	
  +2.5000000000000001E-03	  +3.3966707255101728E+03	  +3.5010052667457870E+01	  +2.9323744224342175E+02	  +1.5152615114678056E+02	  +1.0397682629805395E+01	  +6.5551575785825935E+02	  +4.1091397725588524E+02	  +3.6056722222420602E-02	  +9.3868697078115517E+01	
  +2.6388888888888890E-03	  +3.3976973084140441E+03	  +3.5010056472264552E+01	  +2.9325700254948435E+02	  +1.5158341689897642E+02	  +1.0398315265753698E+01	  +6.5553284356105826E+02	  +4.1091418692836544E+02	  +3.6055801153477791E-02	  +9.3848289174884485E+01	
  +2.7777777777777779E-03	  +3.3984172636896465E+03	  +3.5010059140158319E+01	  +2.9327071804272236E+02	  +1.5162357107828507E+02	  +1.0398759252691370E+01	  +6.5554482925520540E+02	  +4.1091433401208229E+02	  +3.6055155047113110E-02	  +9.3833976923887647E+01	
  +2.9166666666666668E-03	  +3.3989221147766652E+03	  +3.5010061010725622E+01	  +2.9328033452264219E+02	  +1.5165172477661136E+02	  +1.0399070760079130E+01	  +6.5555323574542240E+02	  +4.1091443717202225E+02	  +3.6054701896481772E-02	  +9.3823940819541136E+01	
  +3.0555555555555557E-03	  +3.3992760987066049E+03	  +3.5010062322189867E+01	  +2.9328707668439324E+02	  +1.5167146347409474E+02	  +1.0399289271723898E+01	  +6.5555913106703645E+02	  +4.1091450951565929E+02	  +3.6054384116674359E-02	  +9.3816903851935777E+01	
  +3.1944444444444446E-03	  +3.3995242848788434E+03	  +3.5010063241632110E+01	  +2.9329180348316015E+02	  +1.5168530189185716E+02	  +1.0399442525235244E+01	  +6.5556326493739584E+02	  +4.1091456024359752E+02	  +3.6054161288922519E-02	  +9.3811970069236324E+01	
  +3.3333333333333335E-03	  +3.3996982865021296E+03	  +3.5010063886219669E+01	  +2.9329511726980365E+02	  +1.5169500350307595E+02	  +1.0399549996669830E+01	  +6.5556616344382257E+02	  +4.1091459581187951E+02	  +3.6054005052521106E-02	  +9.3808511023859523E+01	
  +3.4722222222222220E-03	  +3.3998202742522881E+03	  +3.5010064338108947E+01	  +2.9329744040584904E+02	  +1.5170180483494920E+02	  +1.0399625355785286E+01	  +6.5556819565261537E+02	  +4.1091462074954143E+02	  +3.6053895512415619E-02	  +9.3806085979480642E+01	
  +3.6111111111111109E-03	  +3.3999057947462893E+03	  +3.5010064654903047E+01	  +2.9329906902536254E+02	  +1.5170657286471200E+02	  +1.0399678194096168E+01	  +6.5556962042463965E+02	  +4.1091463823318441E+02	  +3.6053818714751239E-02	  +9.3804385880838453E+01	
  +3.7499999999999999E-03	  +3.3999657487140644E+03	  +3.5010064876987656E+01	  +2.9330021074918358E+02	  +1.5170991543374831E+02	  +1.0399715240001431E+01	  +6.5557061929723454E+02	  +4.1091465049051936E+02	  +3.6053764873990014E-02	  +9.3803194029120945E+01	
  +3.8888888888888888E-03	  +3.4000077788980298E+03	  +3.5010065032676479E+01	  +2.9330101113614569E+02	  +1.5171225868754425E+02	  +1.0399741212604010E+01	  +6.5557131956784474E+02	  +4.1091465908365012E+02	  +3.6053727128426416E-02	  +9.3802358491726991E+01	
  +4.0277777777777777E-03	  +3.4000372435691124E+03	  +3.5010065141819169E+01	  +2.9330157223220095E+02	  +1.5171390138104545E+02	  +1.0399759421307667E+01	  +6.5557181049298538E+02	  +4.1091466510786563E+02	  +3.6053700666921956E-02	  +9.3801772749631411E+01	
  +4.1666666666666666E-03	  +3.4000578992620253E+03	  +3.5010065218331377E+01	  +2.9330196557682160E+02	  +1.5171505295687018E+02	  +1.0399772186697440E+01	  +6.5557215465269655E+02	  +4.1091466933109871E+02	  +3.6053682116287948E-02	  +9.3801362125194188E+01	
  +4.3055555555555555E-03	  +3.4000723795248960E+03	  +3.5010065271968543E+01	  +2.9330224132228182E+02	  +1.5171586024337898E+02	  +1.0399781135871848E+01	  +6.5557239592166570E+02	  +4.1091467229174390E+02	  +3.6053669111603320E-02	  +9.3801074265003464E+01	
  +4.4444444444444444E-03	  +3.4000825306008810E+03	  +3.5010065309569612E+01	  +2.9330243462721478E+02	  +1.5171642617278505E+02	  +1.0399787409624818E+01	  +6.5557256505940995E+02	  +4.1091467436725611E+02	  +3.6053659994882976E-02	  +9.3800872466775800E+01	
  +4.5833333333333334E-03	  +3.4000896467817975E+03	  +3.5010065335928957E+01	  +2.9330257013900780E+02	  +1.5171682290403902E+02	  +1.0399791807760803E+01	  +6.5557268363025446E+02	  +4.1091467582225522E+02	  +3.6053653603779920E-02	  +9.3800731000692963E+01	
  +4.7222222222222223E-03	  +3.4000946354126868E+03	  +3.5010065354407544E+01	  +2.9330266513624105E+02	  +1.5171710102279712E+02	  +1.0399794891002649E+01	  +6.5557276675188939E+02	  +4.1091467684225177E+02	  +3.6053649123430752E-02	  +9.3800631829217167E+01	
  +4.8611111111111112E-03	  +3.4000981325718953E+03	  +3.5010065367361477E+01	  +2.9330273173170133E+02	  +1.5171729599107098E+02	  +1.0399797052451099E+01	  +6.5557282502247313E+02	  +4.1091467755729769E+02	  +3.6053645982581650E-02	  +9.3800562307441666E+01	
  +5.0000000000000001E-03	  +3.4001005841694960E+03	  +3.5010065376442526E+01	  +2.9330277841678600E+02	  +1.5171743266871110E+02	  +1.0399798567689608E+01	  +6.5557286587172189E+02	  +4.1091467805856428E+02	  +3.6053643780762187E-02	  +9.3800513570904656E+01	
  +5.1388888888888890E-03	  +3.4001023028011004E+03	  +3.5010065382808548E+01	  +2.9330281114419114E+02	  +1.5171752848313639E+02	  +1.0399799629913968E+01	  +6.5557289450811538E+02	  +4.1091467840996546E+02	  +3.6053642237229233E-02	  +9.3800479405364314E+01	
  +5.2777777777777779E-03	  +3.4001035076047647E+03	  +3.5010065387271311E+01	  +2.9330283408691236E+02	  +1.5171759565142114E+02	  +1.0399800374561810E+01	  +6.5557291458296345E+02	  +4.1091467865630636E+02	  +3.6053641155172990E-02	  +9.3800455454466601E+01	
  +5.4166666666666669E-03	  +3.4001043522020423E+03	  +3.5010065390399802E+01	  +2.9330285017032656E+02	  +1.5171764273804649E+02	  +1.0399800896579439E+01	  +6.5557292865594059E+02	  +4.1091467882899781E+02	  +3.6053640396624197E-02	  +9.3800438664292159E+01	
  +5.5555555555555558E-03	  +3.4001049442856297E+03	  +3.5010065392592963E+01	  +2.9330286144519607E+02	  +1.5171767574693061E+02	  +1.0399801262527212E+01	  +6.5557293852145165E+02	  +4.1091467895005900E+02	  +3.6053639864862430E-02	  +9.3800426893964357E+01	
  +5.6944444444444447E-03	  +3.4001053593508173E+03	  +3.5010065394130407E+01	  +2.9330286934915705E+02	  +1.5171769888697020E+02	  +1.0399801519065893E+01	  +6.5557294543742137E+02	  +4.1091467903492565E+02	  +3.6053639492084205E-02	  +9.3800418642674060E+01	
  +5.8333333333333336E-03	  +3.4001056503217360E+03	  +3.5010065395208201E+01	  +2.9330287489002745E+02	  +1.5171771510870639E+02	  +1.0399801698905925E+01	  +6.5557295028568615E+02	  +4.1091467909441968E+02	  +3.6053639230757460E-02	  +9.3800412858316776E+01	
  +5.9722222222222225E-03	  +3.4001058542995052E+03	  +3.5010065395963764E+01	  +2.9330287877431408E+02	  +1.5171772648054198E+02	  +1.0399801824978276E+01	  +6.5557295368444113E+02	  +4.1091467913612621E+02	  +3.6053639047560898E-02	  +9.3800408803339678E+01	
  +6.1111111111111114E-03	  +3.4001059972929274E+03	  +3.5010065396493431E+01	  +2.9330288149729409E+02	  +1.5171773445247749E+02	  +1.0399801913358122E+01	  +6.5557295606705043E+02	  +4.1091467916536345E+02	  +3.6053638919135607E-02	  +9.3800405960701084E+01	
  +6.2500000000000003E-03	  +3.4001060975348264E+03	  +3.5010065396864746E+01	  +2.9330288340616994E+02	  +1.5171774004099953E+02	  +1.0399801975314571E+01	  +6.5557295773732062E+02	  +4.1091467918585948E+02	  +3.6053638829106345E-02	  +9.3800403967941747E+01	
  +6.3888888888888893E-03	  +3.4001061678068572E+03	  +3.5010065397125032E+01	  +2.9330288474433860E+02	  +1.5171774395869082E+02	  +1.0399802018747579E+01	  +6.5557295890821854E+02	  +4.1091467920022768E+02	  +3.6053638765993629E-02	  +9.3800402570968771E+01	
  +6.5277777777777782E-03	  +3.4001062170692694E+03	  +3.5010065397307500E+01	  +2.9330288568242776E+02	  +1.5171774670508830E+02	  +1.0399802049195184E+01	  +6.5557295972904797E+02	  +4.1091467921030005E+02	  +3.6053638721750020E-02	  +9.3800401591656183E+01	
  +6.6666666666666671E-03	  +3.4001062516034312E+03	  +3.5010065397435426E+01	  +2.9330288634005092E+02	  +1.5171774863038047E+02	  +1.0399802070539707E+01	  +6.5557296030446969E+02	  +4.1091467921736125E+02	  +3.6053638690734191E-02	  +9.3800400905134325E+01	
  +6.8055555555555551E-03	  +3.4001062758127273E+03	  +3.5010065397525096E+01	  +2.9330288680106128E+02	  +1.5171774998005725E+02	  +1.0399802085502742E+01	  +6.5557296070785412E+02	  +4.1091467922231146E+02	  +3.6053638668991347E-02	  +9.3800400423865582E+01	
  +6.9444444444444441E-03	  +3.4001062927840339E+03	  +3.5010065397587979E+01	  +2.9330288712424084E+02	  +1.5171775092621365E+02	  +1.0399802095992193E+01	  +6.5557296099063501E+02	  +4.1091467922578175E+02	  +3.6053638653749040E-02	  +9.3800400086484430E+01	
  +7.0833333333333330E-03	  +3.4001063046813329E+03	  +3.5010065397632033E+01	  +2.9330288735079756E+02	  +1.5171775158949245E+02	  +1.0399802103345557E+01	  +6.5557296118887314E+02	  +4.1091467922821431E+02	  +3.6053638643063837E-02	  +9.3800399849972095E+01	
  +7.2222222222222219E-03	  +3.4001063130216348E+03	  +3.5010065397662927E+01	  +2.9330288750961910E+02	  +1.5171775205446750E+02	  +1.0399802108500435E+01	  +6.5557296132784370E+02	  +4.1091467922991973E+02	  +3.6053638635573253E-02	  +9.3800399684171040E+01	
  +7.3611111111111108E-03	  +3.4001063188683988E+03	  +3.5010065397684599E+01	  +2.9330288762095722E+02	  +1.5171775238042642E+02	  +1.0399802112114131E+01	  +6.5557296142526377E+02	  +4.1091467923111509E+02	  +3.6053638630322175E-02	  +9.3800399567940516E+01	
  +7.4999999999999997E-03	  +3.4001063229671113E+03	  +3.5010065397699762E+01	  +2.9330288769900807E+02	  +1.5171775260893131E+02	  +1.0399802114647446E+01	  +6.5557296149355886E+02	  +4.1091467923195302E+02	  +3.6053638626641016E-02	  +9.3800399486459838E+01	
  +7.6388888888888886E-03	  +3.4001063258404142E+03	  +3.5010065397710406E+01	  +2.9330288775372338E+02	  +1.5171775276911882E+02	  +1.0399802116423349E+01	  +6.5557296154143512E+02	  +4.1091467923254055E+02	  +3.6053638624060441E-02	  +9.3800399429339933E+01	
  +7.7777777777777776E-03	  +3.4001063278546703E+03	  +3.5010065397717867E+01	  +2.9330288779208013E+02	  +1.5171775288141433E+02	  +1.0399802117668290E+01	  +6.5557296157499684E+02	  +4.1091467923295232E+02	  +3.6053638622251402E-02	  +9.3800399389297482E+01	
  +7.9166666666666673E-03	  +3.4001063292667154E+03	  +3.5010065397723110E+01	  +2.9330288781896894E+02	  +1.5171775296013647E+02	  +1.0399802118541036E+01	  +6.5557296159852513E+02	  +4.1091467923324115E+02	  +3.6053638620983201E-02	  +9.3800399361227079E+01	
  +8.0555555555555554E-03	  +3.4001063302565967E+03	  +3.5010065397726777E+01	  +2.9330288783781879E+02	  +1.5171775301532247E+02	  +1.0399802119152842E+01	  +6.5557296161501711E+02	  +4.1091467923344351E+02	  +3.6053638620094190E-02	  +9.3800399341548911E+01	
  +8.1944444444444452E-03	  +3.4001063309505221E+03	  +3.5010065397729335E+01	  +2.9330288785103301E+02	  +1.5171775305400911E+02	  +1.0399802119581754E+01	  +6.5557296162658088E+02	  +4.1091467923358539E+02	  +3.6053638619470946E-02	  +9.3800399327753851E+01	
  +8.3333333333333332E-03	  +3.4001063314369799E+03	  +3.5010065397731140E+01	  +2.9330288786029666E+02	  +1.5171775308112942E+02	  +1.0399802119882409E+01	  +6.5557296163468607E+02	  +4.1091467923368492E+02	  +3.6053638619034045E-02	  +9.3800399318083137E+01	
